group,type,sampleID,PFHxA_peakArea,PFHxA_RT,13C2PFHxA_peakArea,13C2PFHxA_RT,PFHpA_peakArea,PFHpA_RT,PFOA_peakArea,PFOA_RT,13C4PFOA_peakArea,13C4PFOA_RT,PFNA_peakArea,PFNA_RT,13C5PFNA_peakArea,13C5PFNA_RT,PFDA_peakArea,PFDA_RT,13C2PFDA_peakArea,13C2PFDA_RT,PFHxS_peakArea,PFHxS_RT,13C4PFHxS_peakArea,13C4PFHxS_RT,PFOS_peakArea,PFOS_RT,13C4PFOS_peakArea,13C4PFOS_RT
E,unknown,Grp E NIA Mortar/Pestle Blank #2,0,0,900,3.56,7.48E+02,3.73,4.14E+03,3.89,1.55E+04,,1.77E+03,4.03,1.35E+04,4.03,2.65E+03,4.2,1.30E+04,4.17,0.00E+00,0,6.78E+02,3.73,0.00E+00,0,5.00E+02,4.06
E,unknown,Grp E NIA Blender Blank #2,11500,3.55,39200,3.55,2.59E+04,3.71,2.82E+04,3.87,9.36E+04,,2.42E+04,4.03,9.47E+04,4.02,5.71E+02,4.21,1.20E+04,4.2,1.45E+03,3.7,3.96E+03,3.72,2.25E+03,4.02,3.21E+03,4.02
E,unknown,Grp E NIA Bluegill Sunfish #2 (Replicate 1),2390,3.56,32100,3.56,5.40E+03,3.74,1.11E+04,3.9,7.37E+04,3.89,2.40E+04,4.04,6.95E+04,4.03,1.66E+04,4.19,6.25E+04,4.2,1.40E+03,3.75,2.93E+03,3.71,1.27E+05,4.03,1.98E+03,4.02
E,unknown,Grp E NIA Bluegill Sunfish #2 (Replicate 2),2440,3.56,37600,3.56,3.51E+03,3.73,4.11E+03,3.91,4.70E+04,3.88,2.32E+03,4.08,5.34E+04,4.04,1.76E+03,4.21,4.80E+04,4.17,6.89E+01,3.69,1.72E+03,3.73,1.19E+04,4.02,2.12E+03,4.02
E,unknown,Grp E NIA Bluegill Sunfish #2 (Replicate 3),1720,3.58,27400,3.56,2.79E+03,3.74,5.86E+03,3.89,2.40E+04,3.87,9.64E+03,4.04,2.92E+04,4.02,8.41E+03,4.17,2.45E+04,4.19,1.85E+02,3.69,4.46E+02,3.7,2.12E+04,4.01,8.37E+01,3.99
E,unknown,Grp E NIA Crayfish #2,1290,3.6,20100,3.56,7.68E+03,3.72,4.54E+04,3.85,2.70E+04,3.85,1.81E+04,4.02,3.33E+04,4,5.82E+03,4.16,2.07E+04,4.19,7.32E+02,3.71,8.39E+02,3.71,2.45E+04,4,6.42E+02,3.99
E,unknown,Grp E NIA Hard Shell Bug #2,1950,3.55,22200,3.54,2.65E+03,3.72,1.70E+04,3.85,1.54E+04,3.85,6.31E+03,4.03,1.48E+04,4.02,3.12E+03,4.19,1.37E+04,4.18,2.93E+02,3.73,7.87E+02,3.66,1.41E+04,4,6.67E+02,3.99
F,unknown,Grp F NIA Biota Spike #3,12600,3.55,4010,3.59,7.94E+04,3.72,5.46E+04,3.87,2.61E+04,3.86,4.56E+04,4.02,2.35E+04,4.01,1.67E+05,4.18,2.61E+04,4.18,7.39E+03,3.72,7.48E+02,3.78,6.35E+03,4.04,7.29E+02,4
F,unknown,Grp F NIA Mortar/Pestle Blank #3,0,0,1002,3.56,7.48E+02,3.73,5.14E+03,3.89,1.55E+04,3.89,1.77E+03,4.03,1.35E+04,4.03,5.71E+02,4.21,1.20E+04,4.17,0.00E+00,0,6.78E+02,3.73,0.00E+00,0,5.00E+02,4.06
F,unknown,Grp F NIA Blender Blank #3,242,3.58,2760,3.57,0.00E+00,0,2.39E+03,3.88,1.03E+04,3.86,6.24E+02,4.04,1.19E+04,4.02,4.72E+02,4.18,1.88E+04,4.18,0.00E+00,0,6.78E+02,3.73,0.00E+00,0,5.18E+02,4.05
F,unknown,Grp F NIA Handheld Homogenizer Blank #3,0,0,2320,3.54,1.61E+03,3.73,3.24E+03,3.88,1.58E+04,3.87,9.57E+02,4,1.64E+04,4,5.91E+04,4.16,2.52E+04,4.17,0.00E+00,0,6.78E+02,3.73,0.00E+00,0,5.00E+02,4.06
F,unknown,Grp F NIA Shrimp #3 (Replicate 1),500,3.59,3850,3.58,1.52E+03,3.7,5.36E+03,3.85,1.32E+04,3.84,4.66E+03,4.02,9.17E+03,4.01,1.79E+03,4.17,8.98E+03,4.16,4.41E+02,3.73,1.43E+02,3.71,7.34E+03,4.01,1.61E+02,4.04
F,unknown,Grp F NIA Shrimp #3 (Replicate 2),568,3.53,5840,3.56,1.85E+03,3.72,2.49E+03,3.89,9.73E+03,3.87,2.85E+02,4.04,8.73E+01,4.04,1.82E+03,4.16,8.14E+03,4.16,1.01E+02,3.76,2.10E+02,3.69,7.68E+03,4.01,2.89E+02,4
F,unknown,Grp F NIA Pumpkinseed Fish #3 (Replicate 1),761,3.59,10100,3.56,1.89E+03,3.76,8.01E+02,3.89,9.10E+03,3.87,2.26E+03,4.03,1.13E+04,4.02,7.46E+03,4.18,8.96E+03,4.15,1.49E+02,3.74,1.43E+02,3.71,3.72E+04,4.01,2.14E+02,4.06
F,unknown,Grp F NIA Pumpkinseed Fish #3 (Replicate 2),600,3.6,10700,3.57,1.41E+03,3.72,2.03E+03,3.86,1.13E+04,3.87,4.34E+03,4.03,1.01E+04,4.03,4.30E+02,4.17,9.66E+03,4.21,1.69E+02,3.69,2.22E+02,3.7,1.67E+03,3.99,1.25E+02,4
F,unknown,Grp F NIA Whirligig #3,924,3.57,13900,3.56,1.19E+03,3.73,8.25E+02,3.87,1.00E+04,3.88,2.92E+02,4.05,1.17E+04,4.03,3.42E+02,4.23,1.32E+04,4.21,0.00E+00,0,3.75E+02,3.71,8.86E+02,4.01,3.10E+02,4.04
F,unknown,Grp F NIA Nymph #3,1160,3.55,17200,3.54,2.25E+03,3.74,7.40E+02,3.89,1.50E+04,3.89,1.60E+03,4.01,1.35E+04,4.02,1.33E+03,4.17,1.17E+04,4.2,0.00E+00,0,3.39E+02,3.7,1.24E+03,4.03,4.92E+02,4.05
