group,type,sampleID,PFHxA_peakArea,PFHxA_RT,13C2PFHxA_peakArea,13C2PFHxA_RT,PFHpA_peakArea,PFHpA_RT,PFOA_peakArea,PFOA_RT,13C4PFOA_peakArea,13C4PFOA_RT,PFNA_peakArea,PFNA_RT,13C5PFNA_peakArea,13C5PFNA_RT,PFDA_peakArea,PFDA_RT,13C2PFDA_peakArea,13C2PFDA_RT,PFHxS_peakArea,PFHxS_RT,13C4PFHxS_peakArea,13C4PFHxS_RT,PFOS_peakArea,PFOS_RT,13C4PFOS_peakArea,13C4PFOS_RT
C,unknown,Grp C 20MC Whirligig #3,7.36E+02,3.53,8.17E+03,3.54,1.23E+03,3.71,3.07E+04,3.86,4.83E+04,3.87,2.07E+03,4.02,5.42E+04,4.01,2.45E+03,4.18,5.51E+04,4.17,0.00E+00,0,2.03E+03,3.73,0.00E+00,0,1.46E+03,4.01
calCurve,std,NIA 0 ppb,0.00E+00,0,2.00E+04,3.58,1.96E+03,3.74,2.35E+03,3.92,4.06E+04,3.88,0.00E+00,0,6.30E+04,4.05,0.00E+00,0,6.14E+04,4.19,0.00E+00,0,2.00E+03,3.71,0.00E+00,0,2.28E+03,4.02
calCurve,std,NIA 0.2 ppb,3.71E+03,3.54,2.62E+04,3.55,8.37E+03,3.72,7.86E+03,3.87,5.31E+04,3.88,8.79E+03,4.06,7.71E+04,4.02,9.28E+03,4.17,8.63E+04,4.18,2.49E+02,3.75,2.61E+03,3.69,1.64E+02,4,3.61E+03,4
calCurve,std,NIA 0.4 ppb,8.42E+03,3.56,3.64E+04,3.55,1.53E+04,3.71,1.36E+04,3.87,5.76E+04,3.87,1.42E+04,4.03,8.70E+04,4.03,1.88E+04,4.17,8.99E+04,4.18,5.62E+02,3.7,2.04E+03,3.72,8.11E+02,4.04,3.86E+03,4.02
calCurve,std,NIA 1 ppb,1.77E+04,3.57,3.21E+04,3.54,3.55E+04,3.71,3.04E+04,3.91,6.36E+04,3.87,3.38E+04,4.03,9.26E+04,4.03,4.29E+04,4.17,9.25E+04,4.18,1.46E+03,3.68,3.14E+03,3.72,2.18E+03,4.02,4.13E+03,4
calCurve,std,NIA 2 ppb,3.62E+04,3.56,4.44E+04,3.57,6.87E+04,3.73,6.17E+04,3.91,7.42E+04,3.9,6.42E+04,4.04,1.02E+05,4.04,7.48E+04,4.21,9.52E+04,4.21,4.28E+02,3.77,3.42E+03,3.73,3.26E+03,4.03,4.11E+03,4.04
calCurve,std,NIA 4 ppb,1.01E+05,3.55,3.94E+04,3.55,1.61E+05,3.71,1.40E+05,3.88,6.40E+04,3.87,1.70E+05,4.04,9.46E+04,4.02,1.90E+05,4.18,8.87E+04,4.18,7.01E+03,3.71,2.46E+03,3.71,9.07E+03,4.03,3.52E+03,4.03
calCurve,std,NIA 10  ppb,2.40E+05,3.55,4.09E+04,3.55,4.37E+05,3.72,3.85E+05,3.88,6.98E+04,3.87,4.11E+05,4.03,9.18E+04,4.03,4.65E+05,4.19,8.90E+04,4.19,2.14E+04,3.71,2.95E+03,3.72,1.99E+04,4.01,2.81E+03,4.01
calCurve,std,NIA 20 ppb,4.48E+05,3.57,4.29E+04,3.56,7.60E+05,3.74,7.43E+05,3.9,7.82E+04,3.89,7.64E+05,4.05,8.73E+04,4.05,8.70E+05,4.21,9.47E+04,4.2,3.66E+04,3.74,3.23E+03,3.73,3.50E+04,4.03,3.09E+03,4.02
calCurve,std,NIA 40 ppb,8.84E+05,3.55,4.68E+04,3.56,1.42E+06,3.72,1.34E+06,3.88,9.98E+04,3.88,1.28E+06,4.03,9.35E+04,4.03,1.41E+06,4.19,8.89E+04,4.18,6.19E+04,3.72,2.40E+03,3.71,6.08E+04,4.02,3.33E+03,4.02
calCurve,std,NIA 100 ppb,2.20E+06,3.56,5.06E+04,3.57,3.34E+06,3.73,3.18E+06,3.89,1.34E+05,3.88,3.33E+06,4.04,8.34E+04,4.04,3.55E+06,4.19,9.67E+04,4.19,1.41E+05,3.71,2.22E+03,3.72,1.42E+05,4.02,2.91E+03,4.02
water,unknown,NIA Water Lab Blank,0.00E+00,0,1.14E+04,3.55,2.53E+03,3.73,7.72E+03,3.88,4.71E+04,3.87,1.65E+03,4.07,5.39E+04,4.04,2.43E+03,4.18,5.84E+04,4.22,0.00E+00,0,2.37E+03,3.74,0.00E+00,0,2.16E+03,4.04
water,unknown,NIA Water Field Blank,1.29E+03,3.59,1.82E+04,3.56,2.76E+03,3.7,3.12E+03,3.89,4.85E+04,3.87,1.69E+03,4.02,6.23E+04,4.03,2.25E+03,4.19,6.94E+04,4.17,0.00E+00,0,2.03E+03,3.73,0.00E+00,0,2.32E+03,4
water,unknown,NIA Water Spike #1,1.52E+05,3.55,1.83E+04,3.55,4.24E+05,3.72,4.38E+05,3.88,5.04E+04,3.87,3.79E+05,4.04,6.11E+04,4.04,4.11E+05,4.19,6.90E+04,4.2,1.99E+04,3.69,2.14E+03,3.75,1.21E+04,4.03,1.96E+03,4.04
water,unknown,NIA Water Spike #2,2.08E+05,3.56,2.15E+04,3.55,5.22E+05,3.73,4.75E+05,3.89,5.28E+04,3.89,4.24E+05,4.05,6.15E+04,4.04,4.53E+05,4.19,7.46E+04,4.2,2.45E+04,3.72,2.78E+03,3.73,1.55E+04,4.02,2.10E+03,4.02
