Congener,Sludge1_undiluted,Sludge2_undiluted,Sludge3_undiluted,Sludge4_undiluted,Sludge5_undiluted,Sludge6_undiluted,Sludge7_undiluted,Sludge8_undiluted,Sludge9_undiluted,Sludge10_undiluted,Sludge11_undiluted,Sludge12_undiluted,Sludge13_undiluted,Sludge14_undiluted,Sludge15_undiluted,Sludge16_undiluted,Sludge17_undiluted,Sludge18_undiluted,Sludge19_undiluted,Sludge20_undiluted,Sludge21_undiluted,Sludge22_undiluted,Sludge23_undiluted,Sludge24_undiluted,Sludge25_undiluted
C14H23Cl7,131.8118039,399.6675946,56.07648255,294.8896994,0,21.19458916,69.70299721,1.84522672,18.37016335,784.728968,1420.77042,1449.255798,436.8522353,615.7951583,58.59692783,134.4751439,547.2664817,199.1785476,153.2794765,317.0239747,589.6788376,526.4506855,132.1286298,291.7783513,726.6907879
C14H24Cl6,123.2351019,350.1866915,18.51947938,302.7911633,0,12.30154,9.636025005,0,18.98099252,188.88948,713.3839455,768.5924618,133.8213492,188.3224153,28.84384488,36.29951463,361.1465612,94.75211542,40.31193613,162.9012794,418.8237703,377.2509619,43.66675223,1526.07517,184.7179439
C14H25Cl5,12.7737199,48.67832874,0,65.68221461,0,0.777281903,0,0,0,2.064241528,106.2646046,92.07912198,0,10.54099362,0,0,35.19982228,7.711936423,0,5.116645894,81.09701159,74.21446247,2.303085041,0,6.179556925
C15H17Cl15,0,0,0,0,0,96.91323866,0,0,0,0,32.11839601,16.98423993,0,0,0,0,0,0,0,0,360.3106006,350.553918,0,0,0
C15H18Cl14,6.398228148,17.99978562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C15H19Cl13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C15H20Cl12,0,0,0,0,0,0,0,0,19.13809549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C15H21Cl11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C15H22Cl10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C15H23Cl9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C15H24Cl8,0,0,0,0,0,0,0,0,0,334.1848332,382.889254,399.944766,155.192054,267.6026027,0,0,142.5870201,17.07468266,32.47990619,62.91723843,51.04603499,48.24600006,0,0,305.7472058
C15H25Cl7,0,28.47902601,0,0,0,0,0,0,0,304.1552463,464.6047633,553.2498382,60.35821292,221.5511516,0,0,332.2360048,13.16383013,0,0,169.5584352,191.4858345,0,0,260.961713
C15H26Cl6,60.76593031,130.6943972,0,228.564315,0,0,0,0,9.158038049,86.75616546,327.5135977,354.7053083,43.77784026,69.95200538,11.02286345,3.453449716,259.4651062,52.87594895,19.92212079,102.250118,215.279721,206.7815562,8.213819341,26.84282491,89.86147088
C15H27Cl5,3.212713135,8.677515335,0,72.43887035,0,0,0,0,0,0,34.88693788,36.44081586,0,0,0,0,39.33779908,0,0,8.101712729,27.15532671,40.19414002,0,0,2.244260459
C16H18Cl16,0,0,6.85074858,0,195.3613976,0,0,119.7705352,231.3301534,0,18.039445,0,7.345588306,0,2.142302795,0,0,0,0,5.300629248,0,0,91.06446698,240.1307729,0
C16H19Cl15,0,0,0,0,0,0,0,0,2.861566527,0,18.8601588,31.96122438,0,0,0,0,0,0,0,0,0,0,10.02003778,0,0
C16H20Cl14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.28123814,5.51555694,0,0,6.784642286,0,0,6.436634352,86.8404952,104.959334,4.30642502
C16H21Cl13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C16H22Cl12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C16H23Cl11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C16H24Cl10,0,0,0,0,0,0,0,0,0,6.851912155,0,0,0,6.27585938,0,0,0,0,0,0,0,0,0,0,6.210265881
C16H25Cl9,0,0,0,0,0,0,0,38.29835581,0,147.7526546,191.8719635,189.9254139,0,52.82226713,0,33.10893921,0,28.81912028,0,0,21.28897319,0,31.90674727,0,120.3083155
