"naps","city","p","latitude","longitude","date.time","pollutant","concentration"
60430,"Toronto","ON",43.709444,-79.5435,2018-01-01 21:00:00,"NO2",22
60430,"Toronto","ON",43.709444,-79.5435,2018-01-01 21:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-01 22:00:00,"O3",17
60430,"Toronto","ON",43.709444,-79.5435,2018-01-01 22:00:00,"NO2",26
60430,"Toronto","ON",43.709444,-79.5435,2018-01-01 22:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-01 23:00:00,"O3",9
60430,"Toronto","ON",43.709444,-79.5435,2018-01-01 23:00:00,"NO2",34
60430,"Toronto","ON",43.709444,-79.5435,2018-01-01 23:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 00:00:00,"O3",2
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 00:00:00,"NO2",42
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 00:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 01:00:00,"O3",6
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 01:00:00,"NO2",37
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 01:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 02:00:00,"O3",19
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 02:00:00,"NO2",20
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 02:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 03:00:00,"O3",19
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 03:00:00,"NO2",20
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 03:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 04:00:00,"O3",16
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 04:00:00,"NO2",23
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 04:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 05:00:00,"O3",20
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 05:00:00,"NO2",20
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 05:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 06:00:00,"O3",21
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 06:00:00,"NO2",21
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 06:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 07:00:00,"O3",19
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 07:00:00,"NO2",23
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 07:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 08:00:00,"O3",22
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 08:00:00,"NO2",21
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 08:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 09:00:00,"O3",20
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 09:00:00,"NO2",22
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 09:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 10:00:00,"O3",16
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 10:00:00,"NO2",26
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 10:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 11:00:00,"O3",22
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 11:00:00,"NO2",19
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 11:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 12:00:00,"O3",23
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 12:00:00,"NO2",16
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 12:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 13:00:00,"O3",23
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 13:00:00,"NO2",18
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 13:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 14:00:00,"O3",24
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 14:00:00,"NO2",18
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 14:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 15:00:00,"O3",24
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 15:00:00,"NO2",18
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 15:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 16:00:00,"O3",22
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 16:00:00,"NO2",20
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 16:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 17:00:00,"O3",16
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 17:00:00,"NO2",24
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 17:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 18:00:00,"O3",14
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 18:00:00,"NO2",27
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 18:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 19:00:00,"O3",11
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 19:00:00,"NO2",31
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 19:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 20:00:00,"O3",14
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 20:00:00,"NO2",26
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 20:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 21:00:00,"O3",15
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 21:00:00,"NO2",25
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 21:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 22:00:00,"O3",15
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 22:00:00,"NO2",26
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 22:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 23:00:00,"O3",17
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 23:00:00,"NO2",23
60430,"Toronto","ON",43.709444,-79.5435,2018-01-02 23:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 00:00:00,"O3",20
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 00:00:00,"NO2",21
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 00:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 01:00:00,"O3",24
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 01:00:00,"NO2",16
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 01:00:00,"SO2",2
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 02:00:00,"O3",23
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 02:00:00,"NO2",18
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 02:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 03:00:00,"O3",24
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 03:00:00,"NO2",19
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 03:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 04:00:00,"O3",25
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 04:00:00,"NO2",20
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 04:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 05:00:00,"O3",22
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 05:00:00,"NO2",24
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 05:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 06:00:00,"O3",21
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 06:00:00,"NO2",24
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 06:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 07:00:00,"O3",12
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 07:00:00,"NO2",35
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 07:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 08:00:00,"O3",13
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 08:00:00,"NO2",31
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 08:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 09:00:00,"O3",25
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 09:00:00,"NO2",17
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 09:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 10:00:00,"O3",25
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 10:00:00,"NO2",14
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 10:00:00,"SO2",2
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 11:00:00,"O3",28
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 11:00:00,"NO2",10
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 11:00:00,"SO2",2
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 12:00:00,"O3",29
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 12:00:00,"NO2",9
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 12:00:00,"SO2",2
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 13:00:00,"O3",28
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 13:00:00,"NO2",11
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 13:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 14:00:00,"O3",28
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 14:00:00,"NO2",10
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 14:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 15:00:00,"O3",24
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 15:00:00,"NO2",15
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 15:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 16:00:00,"O3",22
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 16:00:00,"NO2",18
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 16:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 17:00:00,"O3",19
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 17:00:00,"NO2",21
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 17:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 18:00:00,"O3",17
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 18:00:00,"NO2",24
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 18:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 19:00:00,"O3",17
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 19:00:00,"NO2",21
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 19:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 20:00:00,"O3",15
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 20:00:00,"NO2",23
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 20:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 21:00:00,"O3",11
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 21:00:00,"NO2",26
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 21:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 22:00:00,"O3",7
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 22:00:00,"NO2",32
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 22:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 23:00:00,"O3",7
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 23:00:00,"NO2",32
60430,"Toronto","ON",43.709444,-79.5435,2018-01-03 23:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 00:00:00,"O3",7
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 00:00:00,"NO2",28
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 00:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 01:00:00,"O3",6
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 01:00:00,"NO2",30
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 01:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 02:00:00,"O3",5
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 02:00:00,"NO2",31
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 02:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 03:00:00,"O3",2
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 03:00:00,"NO2",35
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 03:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 04:00:00,"O3",2
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 04:00:00,"NO2",38
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 04:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 05:00:00,"O3",13
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 05:00:00,"NO2",26
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 05:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 06:00:00,"O3",12
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 06:00:00,"NO2",27
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 06:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 07:00:00,"O3",8
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 07:00:00,"NO2",33
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 07:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 08:00:00,"O3",14
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 08:00:00,"NO2",26
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 08:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 09:00:00,"O3",20
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 09:00:00,"NO2",19
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 09:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 10:00:00,"O3",25
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 10:00:00,"NO2",12
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 10:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 11:00:00,"O3",26
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 11:00:00,"NO2",12
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 11:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 12:00:00,"O3",28
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 12:00:00,"NO2",10
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 12:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 13:00:00,"O3",27
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 13:00:00,"NO2",11
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 13:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 14:00:00,"O3",26
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 14:00:00,"NO2",10
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 14:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 15:00:00,"O3",26
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 15:00:00,"NO2",10
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 15:00:00,"SO2",1
