"wavenumber","sample","absorbance"
569.8619,"EPDM",0.229952
569.8619,"Polystyrene",0.0739194
569.8619,"Polyethylene",0.000925694
569.8619,"Sample: Shopping bag",0.02528196
570.3441,"EPDM",0.2303643
570.3441,"Polystyrene",0.07393811
570.3441,"Polyethylene",0.000999053
570.3441,"Sample: Shopping bag",0.02529481
570.8262,"EPDM",0.2306875
570.8262,"Polystyrene",0.07398935
570.8262,"Polyethylene",0.00104518
570.8262,"Sample: Shopping bag",0.02530078
571.3083,"EPDM",0.2309022
571.3083,"Polystyrene",0.0740733
571.3083,"Polyethylene",0.001098642
571.3083,"Sample: Shopping bag",0.02530916
571.7904,"EPDM",0.2310507
571.7904,"Polystyrene",0.07417244
571.7904,"Polyethylene",0.001161455
571.7904,"Sample: Shopping bag",0.02531715
572.2725,"EPDM",0.2312031
572.2725,"Polystyrene",0.07426257
572.2725,"Polyethylene",0.001230932
572.2725,"Sample: Shopping bag",0.02532347
572.7546,"EPDM",0.2314499
572.7546,"Polystyrene",0.07431713
572.7546,"Polyethylene",0.001248218
572.7546,"Sample: Shopping bag",0.02530386
573.2368,"EPDM",0.2317253
573.2368,"Polystyrene",0.07433052
573.2368,"Polyethylene",0.001294582
573.2368,"Sample: Shopping bag",0.02529831
573.7189,"EPDM",0.2320503
573.7189,"Polystyrene",0.07430036
573.7189,"Polyethylene",0.001311368
573.7189,"Sample: Shopping bag",0.02528431
574.201,"EPDM",0.2323979
574.201,"Polystyrene",0.07423897
574.201,"Polyethylene",0.001290407
574.201,"Sample: Shopping bag",0.02526152
574.6831,"EPDM",0.2327415
574.6831,"Polystyrene",0.0741655
574.6831,"Polyethylene",0.001234038
574.6831,"Sample: Shopping bag",0.02523328
575.1652,"EPDM",0.2330672
575.1652,"Polystyrene",0.07409609
575.1652,"Polyethylene",0.001155067
575.1652,"Sample: Shopping bag",0.02520236
575.6473,"EPDM",0.2333857
575.6473,"Polystyrene",0.07404159
575.6473,"Polyethylene",0.001072302
575.6473,"Sample: Shopping bag",0.02517463
576.1295,"EPDM",0.233724
576.1295,"Polystyrene",0.07400767
576.1295,"Polyethylene",0.001007114
576.1295,"Sample: Shopping bag",0.0251565
576.6116,"EPDM",0.2341043
576.6116,"Polystyrene",0.07399778
576.6116,"Polyethylene",0.000974938
576.6116,"Sample: Shopping bag",0.0251547
577.0937,"EPDM",0.2345269
577.0937,"Polystyrene",0.07401179
577.0937,"Polyethylene",0.000980172
577.0937,"Sample: Shopping bag",0.02517252
577.5758,"EPDM",0.234979
577.5758,"Polystyrene",0.07404649
577.5758,"Polyethylene",0.00101488
577.5758,"Sample: Shopping bag",0.02521104
578.0579,"EPDM",0.2354426
578.0579,"Polystyrene",0.07409444
578.0579,"Polyethylene",0.001060996
578.0579,"Sample: Shopping bag",0.02526754
578.54,"EPDM",0.2359
578.54,"Polystyrene",0.07414567
578.54,"Polyethylene",0.001097114
578.54,"Sample: Shopping bag",0.02533764
579.0222,"EPDM",0.2363391
579.0222,"Polystyrene",0.07418928
579.0222,"Polyethylene",0.001105825
579.0222,"Sample: Shopping bag",0.02541546
579.5043,"EPDM",0.2367622
579.5043,"Polystyrene",0.07421686
579.5043,"Polyethylene",0.001079074
579.5043,"Sample: Shopping bag",0.02549614
579.9864,"EPDM",0.2371865
579.9864,"Polystyrene",0.07422853
579.9864,"Polyethylene",0.001021209
579.9864,"Sample: Shopping bag",0.02557787
580.4685,"EPDM",0.2376308
580.4685,"Polystyrene",0.07423323
580.4685,"Polyethylene",0.000945312
580.4685,"Sample: Shopping bag",0.02566184
580.9506,"EPDM",0.2381086
580.9506,"Polystyrene",0.07424467
580.9506,"Polyethylene",0.000870161
580.9506,"Sample: Shopping bag",0.02574953
581.4327,"EPDM",0.2386233
581.4327,"Polystyrene",0.07427566
581.4327,"Polyethylene",0.000814115
581.4327,"Sample: Shopping bag",0.02584184
581.9149,"EPDM",0.2391779
581.9149,"Polystyrene",0.07433382
581.9149,"Polyethylene",0.000790428
581.9149,"Sample: Shopping bag",0.02593863
582.397,"EPDM",0.2397659
582.397,"Polystyrene",0.07441857
582.397,"Polyethylene",0.000804137
582.397,"Sample: Shopping bag",0.02603637
582.8791,"EPDM",0.2403758
582.8791,"Polystyrene",0.07452273
582.8791,"Polyethylene",0.00085126
582.8791,"Sample: Shopping bag",0.0261298
583.3612,"EPDM",0.2409859
583.3612,"Polystyrene",0.07463621
583.3612,"Polyethylene",0.00091988
583.3612,"Sample: Shopping bag",0.02621238
583.8433,"EPDM",0.2415709
583.8433,"Polystyrene",0.07475156
583.8433,"Polyethylene",0.000995107
583.8433,"Sample: Shopping bag",0.02627945
584.3254,"EPDM",0.2421061
584.3254,"Polystyrene",0.07486645
584.3254,"Polyethylene",0.001062686
584.3254,"Sample: Shopping bag",0.02632929
584.8076,"EPDM",0.2425759
584.8076,"Polystyrene",0.07498264
584.8076,"Polyethylene",0.001113696
584.8076,"Sample: Shopping bag",0.02636347
585.2897,"EPDM",0.2429838
585.2897,"Polystyrene",0.07510166
585.2897,"Polyethylene",0.001146744
585.2897,"Sample: Shopping bag",0.02638652
585.7718,"EPDM",0.2433532
585.7718,"Polystyrene",0.07522225
585.7718,"Polyethylene",0.00116859
585.7718,"Sample: Shopping bag",0.02640406
586.2539,"EPDM",0.2437179
586.2539,"Polystyrene",0.07533785
586.2539,"Polyethylene",0.001191371
586.2539,"Sample: Shopping bag",0.02641961
586.736,"EPDM",0.2441084
586.736,"Polystyrene",0.07543812
586.736,"Polyethylene",0.001227058
586.736,"Sample: Shopping bag",0.02643267
587.2181,"EPDM",0.2447342
587.2181,"Polystyrene",0.07551049
587.2181,"Polyethylene",0.00132781
587.2181,"Sample: Shopping bag",0.02647911
587.7003,"EPDM",0.2453762
587.7003,"Polystyrene",0.07556868
587.7003,"Polyethylene",0.001445653
587.7003,"Sample: Shopping bag",0.0265103
588.1824,"EPDM",0.2460007
588.1824,"Polystyrene",0.07561707
588.1824,"Polyethylene",0.001569361
588.1824,"Sample: Shopping bag",0.02652117
588.6645,"EPDM",0.2465716
588.6645,"Polystyrene",0.07565772
588.6645,"Polyethylene",0.001682344
588.6645,"Sample: Shopping bag",0.02650799
589.1466,"EPDM",0.2470704
589.1466,"Polystyrene",0.07569227
589.1466,"Polyethylene",0.001767553
589.1466,"Sample: Shopping bag",0.02647221
589.6287,"EPDM",0.2475049
589.6287,"Polystyrene",0.0757216
589.6287,"Polyethylene",0.001813859
589.6287,"Sample: Shopping bag",0.02642134
590.1108,"EPDM",0.2479072
590.1108,"Polystyrene",0.07574893
590.1108,"Polyethylene",0.001820359
590.1108,"Sample: Shopping bag",0.02636822
590.593,"EPDM",0.2483172
590.593,"Polystyrene",0.07577982
590.593,"Polyethylene",0.001797824
590.593,"Sample: Shopping bag",0.02632785
591.0751,"EPDM",0.248768
591.0751,"Polystyrene",0.07582325
591.0751,"Polyethylene",0.001765752
591.0751,"Sample: Shopping bag",0.02631341
591.5572,"EPDM",0.2492707
591.5572,"Polystyrene",0.07588864
591.5572,"Polyethylene",0.001746411
591.5572,"Sample: Shopping bag",0.02633132
592.0393,"EPDM",0.2498136
592.0393,"Polystyrene",0.07598245
592.0393,"Polyethylene",0.001756999
592.0393,"Sample: Shopping bag",0.02637902
592.5214,"EPDM",0.2503717
592.5214,"Polystyrene",0.07610588
592.5214,"Polyethylene",0.001804537
592.5214,"Sample: Shopping bag",0.02644602
593.0035,"EPDM",0.2509225
593.0035,"Polystyrene",0.07625341
593.0035,"Polyethylene",0.001883247
593.0035,"Sample: Shopping bag",0.02651935
593.4857,"EPDM",0.2514572
593.4857,"Polystyrene",0.07641386
593.4857,"Polyethylene",0.001975973
593.4857,"Sample: Shopping bag",0.02658827
593.9678,"EPDM",0.2519833
593.9678,"Polystyrene",0.07657407
593.9678,"Polyethylene",0.00206057
593.9678,"Sample: Shopping bag",0.0266493
594.4499,"EPDM",0.2525177
594.4499,"Polystyrene",0.0767227
594.4499,"Polyethylene",0.002116715
594.4499,"Sample: Shopping bag",0.02670641
594.932,"EPDM",0.2530745
594.932,"Polystyrene",0.07685436
594.932,"Polyethylene",0.002131645
594.932,"Sample: Shopping bag",0.02676901
595.4141,"EPDM",0.2536553
595.4141,"Polystyrene",0.07697141
595.4141,"Polyethylene",0.002103785
595.4141,"Sample: Shopping bag",0.02684598
595.8962,"EPDM",0.2542459
595.8962,"Polystyrene",0.07708298
595.8962,"Polyethylene",0.002040809
595.8962,"Sample: Shopping bag",0.02694083
596.3784,"EPDM",0.2548205
596.3784,"Polystyrene",0.07720155
596.3784,"Polyethylene",0.001957043
596.3784,"Sample: Shopping bag",0.02704939
596.8605,"EPDM",0.2553537
596.8605,"Polystyrene",0.07733911
596.8605,"Polyethylene",0.001867761
596.8605,"Sample: Shopping bag",0.02716182
597.3426,"EPDM",0.2558284
597.3426,"Polystyrene",0.07750237
597.3426,"Polyethylene",0.001785129
597.3426,"Sample: Shopping bag",0.02726671
597.8247,"EPDM",0.2562392
597.8247,"Polystyrene",0.07769074
597.8247,"Polyethylene",0.001717077
597.8247,"Sample: Shopping bag",0.02735729
598.3068,"EPDM",0.2565909
598.3068,"Polystyrene",0.07789605
598.3068,"Polyethylene",0.001666714
598.3068,"Sample: Shopping bag",0.02743364
598.7889,"EPDM",0.256892
598.7889,"Polystyrene",0.07810558
598.7889,"Polyethylene",0.001634551
598.7889,"Sample: Shopping bag",0.02750357
599.2711,"EPDM",0.2571509
599.2711,"Polystyrene",0.07830556
599.2711,"Polyethylene",0.001620507
599.2711,"Sample: Shopping bag",0.02757767
599.7532,"EPDM",0.2573747
599.7532,"Polystyrene",0.07848483
599.7532,"Polyethylene",0.001623823
599.7532,"Sample: Shopping bag",0.02766489
600.2353,"EPDM",0.2575707
600.2353,"Polystyrene",0.07863799
600.2353,"Polyethylene",0.001643964
600.2353,"Sample: Shopping bag",0.02776798
600.7174,"EPDM",0.2577517
600.7174,"Polystyrene",0.07876486
600.7174,"Polyethylene",0.001678454
600.7174,"Sample: Shopping bag",0.02788278
601.1995,"EPDM",0.2579352
601.1995,"Polystyrene",0.07886892
601.1995,"Polyethylene",0.001722872
601.1995,"Sample: Shopping bag",0.0280002
601.6816,"EPDM",0.2581384
601.6816,"Polystyrene",0.07895363
601.6816,"Polyethylene",0.001770575
601.6816,"Sample: Shopping bag",0.02811045
602.1638,"EPDM",0.2583706
602.1638,"Polystyrene",0.0790199
