Al,Mg,Ca,K
28.22690166,637.911998,8146.36764,56.67326169
85.02599063,4881.352388,134822.0279,6774.110982
68.74784514,4598.590911,29488.46922,1124.06784
53.25549677,4945.846496,144811.6956,6697.140025
149.8498232,2979575.988,14029794.12,209256.8176
97.64028402,2979233.647,14031817.98,194014.5721
