"naps","city","p","latitude","longitude","date.time","pollutant","concentration"
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 00:00:00,"O3",46
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 00:00:00,"NO2",8
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 00:00:00,"SO2",0
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 01:00:00,"O3",33
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 01:00:00,"NO2",14
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 01:00:00,"SO2",0
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 02:00:00,"O3",33
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 02:00:00,"NO2",11
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 02:00:00,"SO2",0
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 03:00:00,"O3",34
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 03:00:00,"NO2",9
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 03:00:00,"SO2",0
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 04:00:00,"O3",29
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 04:00:00,"NO2",10
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 04:00:00,"SO2",0
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 05:00:00,"O3",23
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 05:00:00,"NO2",13
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 05:00:00,"SO2",0
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 06:00:00,"O3",25
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 06:00:00,"NO2",13
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 06:00:00,"SO2",0
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 07:00:00,"O3",30
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 07:00:00,"NO2",10
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 07:00:00,"SO2",0
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 08:00:00,"O3",39
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 08:00:00,"NO2",9
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 08:00:00,"SO2",0
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 09:00:00,"O3",46
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 09:00:00,"NO2",4
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 09:00:00,"SO2",0
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 10:00:00,"O3",49
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 10:00:00,"NO2",2
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 10:00:00,"SO2",0
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 11:00:00,"O3",49
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 11:00:00,"NO2",2
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 11:00:00,"SO2",0
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 12:00:00,"O3",57
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 12:00:00,"NO2",3
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 12:00:00,"SO2",0
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 13:00:00,"O3",61
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 13:00:00,"NO2",3
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 13:00:00,"SO2",0
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 14:00:00,"O3",58
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 14:00:00,"NO2",2
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 14:00:00,"SO2",0
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 15:00:00,"O3",63
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 15:00:00,"NO2",2
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 15:00:00,"SO2",0
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 16:00:00,"O3",60
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 16:00:00,"NO2",2
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 16:00:00,"SO2",0
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 17:00:00,"O3",59
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 17:00:00,"NO2",3
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 17:00:00,"SO2",2
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 18:00:00,"O3",56
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 18:00:00,"NO2",2
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 18:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 19:00:00,"O3",55
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 19:00:00,"NO2",3
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 19:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 20:00:00,"O3",51
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 20:00:00,"NO2",4
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 20:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 21:00:00,"O3",41
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 21:00:00,"NO2",9
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 21:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 22:00:00,"O3",42
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 22:00:00,"NO2",8
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 22:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 23:00:00,"O3",40
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 23:00:00,"NO2",11
60430,"Toronto","ON",43.709444,-79.5435,2018-07-01 23:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-07-02 00:00:00,"O3",42
60430,"Toronto","ON",43.709444,-79.5435,2018-07-02 00:00:00,"NO2",8
60430,"Toronto","ON",43.709444,-79.5435,2018-07-02 00:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-07-02 01:00:00,"O3",34
60430,"Toronto","ON",43.709444,-79.5435,2018-07-02 01:00:00,"NO2",11
60430,"Toronto","ON",43.709444,-79.5435,2018-07-02 01:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-07-02 02:00:00,"O3",31
60430,"Toronto","ON",43.709444,-79.5435,2018-07-02 02:00:00,"NO2",13
60430,"Toronto","ON",43.709444,-79.5435,2018-07-02 02:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-07-02 03:00:00,"O3",24
60430,"Toronto","ON",43.709444,-79.5435,2018-07-02 03:00:00,"NO2",16
60430,"Toronto","ON",43.709444,-79.5435,2018-07-02 03:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-07-02 04:00:00,"O3",24
60430,"Toronto","ON",43.709444,-79.5435,2018-07-02 04:00:00,"NO2",15
60430,"Toronto","ON",43.709444,-79.5435,2018-07-02 04:00:00,"SO2",0
60430,"Toronto","ON",43.709444,-79.5435,2018-07-02 05:00:00,"O3",22
60430,"Toronto","ON",43.709444,-79.5435,2018-07-02 05:00:00,"NO2",14
60430,"Toronto","ON",43.709444,-79.5435,2018-07-02 05:00:00,"SO2",0
60430,"Toronto","ON",43.709444,-79.5435,2018-07-02 06:00:00,"O3",28
60430,"Toronto","ON",43.709444,-79.5435,2018-07-02 06:00:00,"NO2",7
60430,"Toronto","ON",43.709444,-79.5435,2018-07-02 06:00:00,"SO2",0
60430,"Toronto","ON",43.709444,-79.5435,2018-07-02 07:00:00,"O3",34
60430,"Toronto","ON",43.709444,-79.5435,2018-07-02 07:00:00,"NO2",5
60430,"Toronto","ON",43.709444,-79.5435,2018-07-02 07:00:00,"SO2",0
60430,"Toronto","ON",43.709444,-79.5435,2018-07-02 08:00:00,"O3",38
60430,"Toronto","ON",43.709444,-79.5435,2018-07-02 08:00:00,"NO2",5
