casrn,congener_number,name,category
73575-56-1,93,"2,2',3,5,6-Pentachlorobiphenyl",Congener
73575-55-0,94,"2,2',3,5,6'-Pentachlorobiphenyl",Congener
38379-99-6,95,"2,2',3,5',6-Pentachlorobiphenyl",Congener
73575-54-9,96,"2,2',3,6,6'-Pentachlorobiphenyl",Congener
41464-51-1,97,"2,2',3,4',5'-Pentachlorobiphenyl",Congener
60233-25-2,98,"2,2',3,4',6'-Pentachlorobiphenyl",Congener
38380-01-7,99,"2,2',4,4',5-Pentachlorobiphenyl",Congener
39485-83-1,100,"2,2',4,4',6-Pentachlorobiphenyl",Congener
37680-73-2,101,"2,2',4,5,5'-Pentachlorobiphenyl",Congener
68194-06-9,102,"2,2',4,5,6'-Pentachlorobiphenyl",Congener
60145-21-3,103,"2,2',4,5',6-Pentachlorobiphenyl",Congener
56558-16-8,104,"2,2',4,6,6'-Pentachlorobiphenyl",Congener
32598-14-4,105,"2,3,3',4,4'-Pentachlorobiphenyl",Congener
70424-69-0,106,"2,3,3',4,5-Pentachlorobiphenyl",Congener
70424-68-9,107,"2,3,3',4',5-Pentachlorobiphenyl",Congener
70362-41-3,108,"2,3,3',4,5'-Pentachlorobiphenyl",Congener
74472-35-8,109,"2,3,3',4,6-Pentachlorobiphenyl",Congener
38380-03-9,110,"2,3,3',4',6-Pentachlorobiphenyl",Congener
39635-32-0,111,"2,3,3',5,5'-Pentachlorobiphenyl",Congener
74472-36-9,112,"2,3,3',5,6-Pentachlorobiphenyl",Congener
68194-10-5,113,"2,3,3',5',6-Pentachlorobiphenyl",Congener
74472-37-0,114,"2,3,4,4',5-Pentachlorobiphenyl",Congener
74472-38-1,115,"2,3,4,4',6-Pentachlorobiphenyl",Congener
18259-05-7,116,"2,3,4,5,6-Pentachlorobiphenyl",Congener
68194-11-6,117,"2,3,4',5,6-Pentachlorobiphenyl",Congener
31508-00-6,118,"2,3',4,4',5-Pentachlorobiphenyl",Congener
56558-17-9,119,"2,3',4,4',6-Pentachlorobiphenyl",Congener
68194-12-7,120,"2,3',4,5,5'-Pentachlorobiphenyl",Congener
56558-18-0,121,"2,3',4,5',6-Pentachlorobiphenyl",Congener
76842-07-4,122,"2,3,3',4',5'-Pentachlorobiphenyl",Congener
65510-44-3,123,"2,3',4,4',5'-Pentachlorobiphenyl",Congener
70424-70-3,124,"2,3',4',5,5'-Pentachlorobiphenyl",Congener
74472-39-2,125,"2,3',4',5',6-Pentachlorobiphenyl",Congener
57465-28-8,126,"3,3',4,4',5-Pentachlorobiphenyl",Congener
39635-33-1,127,"3,3',4,5,5'-Pentachlorobiphenyl",Congener
38380-07-3,128,"2,2',3,3',4,4'-Hexachlorobiphenyl",Congener
55215-18-4,129,"2,2',3,3',4,5-Hexachlorobiphenyl",Congener
52663-66-8,130,"2,2',3,3',4,5'-Hexachlorobiphenyl",Congener
61798-70-7,131,"2,2',3,3',4,6-Hexachlorobiphenyl",Congener
38380-05-1,132,"2,2',3,3',4,6'-Hexachlorobiphenyl",Congener
35694-04-3,133,"2,2',3,3',5,5'-Hexachlorobiphenyl",Congener
52704-70-8,134,"2,2',3,3',5,6-Hexachlorobiphenyl",Congener
52744-13-5,135,"2,2',3,3',5,6'-Hexachlorobiphenyl",Congener
38411-22-2,136,"2,2',3,3',6,6'-Hexachlorobiphenyl",Congener
35694-06-5,137,"2,2',3,4,4',5-Hexachlorobiphenyl",Congener
35065-28-2,138,"2,2',3,4,4',5'-Hexachlorobiphenyl",Congener
56030-56-9,139,"2,2',3,4,4',6-Hexachlorobiphenyl",Congener
59291-64-4,140,"2,2',3,4,4',6'-Hexachlorobiphenyl",Congener
52712-04-6,141,"2,2',3,4,5,5'-Hexachlorobiphenyl",Congener
41411-61-4,142,"2,2',3,4,5,6-Hexachlorobiphenyl",Congener
68194-15-0,143,"2,2',3,4,5,6'-Hexachlorobiphenyl",Congener
68194-14-9,144,"2,2',3,4,5',6-Hexachlorobiphenyl",Congener
74472-40-5,145,"2,2',3,4,6,6'-Hexachlorobiphenyl",Congener
51908-16-8,146,"2,2',3,4',5,5'-Hexachlorobiphenyl",Congener
68194-13-8,147,"2,2',3,4',5,6-Hexachlorobiphenyl",Congener
74472-41-6,148,"2,2',3,4',5,6'-Hexachlorobiphenyl",Congener
38380-04-0,149,"2,2',3,4',5',6-Hexachlorobiphenyl",Congener
68194-13-8,150,"2,2',3,4',6,6'-Hexachlorobiphenyl",Congener
52663-63-5,151,"2,2',3,5,5',6-Hexachlorobiphenyl",Congener
68194-09-2,152,"2,2',3,5,6,6'-Hexachlorobiphenyl",Congener
35065-27-1,153,"2,2',4,4',5,5'-Hexachlorobiphenyl",Congener
60145-22-4,154,"2,2',4,4',5,6'-Hexachlorobiphenyl",Congener
33979-03-2,155,"2,2',4,4',6,6'-Hexachlorobiphenyl",Congener
38380-08-4,156,"2,3,3',4,4',5-Hexachlorobiphenyl",Congener
69782-90-7,157,"2,3,3',4,4',5'-Hexachlorobiphenyl",Congener
74472-42-7,158,"2,3,3',4,4',6-Hexachlorobiphenyl",Congener
39635-35-3,159,"2,3,3',4,5,5'-Hexachlorobiphenyl",Congener
41411-62-5,160,"2,3,3',4,5,6-Hexachlorobiphenyl",Congener
74472-43-8,161,"2,3,3',4,5',6-Hexachlorobiphenyl",Congener
39635-34-2,162,"2,3,3',4',5,5'-Hexachlorobiphenyl",Congener
74472-44-9,163,"2,3,3',4',5,6-Hexachlorobiphenyl",Congener
74472-45-0,164,"2,3,3',4',5',6-Hexachlorobiphenyl",Congener
74472-46-1,165,"2,3,3',5,5',6-Hexachlorobiphenyl",Congener
41411-63-6,166,"2,3,4,4',5,6-Hexachlorobiphenyl",Congener
52663-72-6,167,"2,3',4,4',5,5'-Hexachlorobiphenyl",Congener
59291-65-5,168,"2,3',4,4',5',6-Hexachlorobiphenyl",Congener
32774-16-6,169,"3,3',4,4',5,5'-Hexachlorobiphenyl",Congener
35065-30-6,170,"2,2',3,3',4,4',5-Heptachlorobiphenyl",Congener
52663-71-5,171,"2,2',3,3',4,4',6-Heptachlorobiphenyl",Congener
52663-74-8,172,"2,2',3,3',4,5,5'-Heptachlorobiphenyl",Congener
68194-16-1,173,"2,2',3,3',4,5,6-Heptachlorobiphenyl",Congener
38411-25-5,174,"2,2',3,3',4,5,6'-Heptachlorobiphenyl",Congener
40186-70-7,175,"2,2',3,3',4,5',6-Heptachlorobiphenyl",Congener
52663-65-7,176,"2,2',3,3',4,6,6'-Heptachlorobiphenyl",Congener
52663-70-4,177,"2,2',3,3',4,5',6'-Heptachlorobiphenyl",Congener
52663-67-9,178,"2,2',3,3',5,5',6-Heptachlorobiphenyl",Congener
52663-64-6,179,"2,2',3,3',5,6,6'-Heptachlorobiphenyl",Congener
35065-29-3,180,"2,2',3,4,4',5,5'-Heptachlorobiphenyl",Congener
74472-47-2,181,"2,2',3,4,4',5,6-Heptachlorobiphenyl",Congener
60145-23-5,182,"2,2',3,4,4',5,6'-Heptachlorobiphenyl",Congener
52663-69-1,183,"2,2',3,4,4',5',6-Heptachlorobiphenyl",Congener
74472-48-3,184,"2,2',3,4,4',6,6'-Heptachlorobiphenyl",Congener
52712-05-7,185,"2,2',3,4,5,5',6-Heptachlorobiphenyl",Congener
74472-49-4,186,"2,2',3,4,5,6,6'-Heptachlorobiphenyl",Congener
52663-68-0,187,"2,2',3,4',5,5',6-Heptachlorobiphenyl",Congener
74487-85-7,188,"2,2',3,4',5,6,6'-Heptachlorobiphenyl",Congener
39635-31-9,189,"2,3,3',4,4',5,5'-Heptachlorobiphenyl",Congener
41411-64-7,190,"2,3,3',4,4',5,6-Heptachlorobiphenyl",Congener
74472-50-7,191,"2,3,3',4,4',5',6-Heptachlorobiphenyl",Congener
74472-51-8,192,"2,3,3',4,5,5',6-Heptachlorobiphenyl",Congener
69782-91-8,193,"2,3,3',4',5,5',6-Heptachlorobiphenyl",Congener
35694-08-7,194,"2,2',3,3',4,4',5,5'-Octachlorobiphenyl",Congener
52663-78-2,195,"2,2',3,3',4,4',5,6-Octachlorobiphenyl",Congener
42740-50-1,196,"2,2',3,3',4,4',5,6'-Octachlorobiphenyl",Congener
