,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam2:001896105519,AirBeam2:001896105519,AirBeam2:001896105519,AirBeam2:001896105519,AirBeam2:001896105519
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam2-F,AirBeam2-PM1,AirBeam2-PM10,AirBeam2-PM2.5,AirBeam2-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,"starting at 401
",2020-07-25T11:00:58.766,43.65395,-79.62161,,,11.0,,
2,"starting at 401
",2020-07-25T11:00:59.270,43.65395,-79.62161,90.0,,,,
3,"starting at 401
",2020-07-25T11:00:59.271,43.65395,-79.62161,,,,,66.0
4,"starting at 401
",2020-07-25T11:00:59.275,43.65395,-79.62161,,7.0,,,
5,"starting at 401
",2020-07-25T11:00:59.276,43.65395,-79.62161,,,,9.0,
6,"starting at 401
",2020-07-25T11:00:59.766,43.65395,-79.62161,,,11.0,,
7,"starting at 401
",2020-07-25T11:01:00.270,43.65395,-79.62161,89.0,,,,67.0
8,"starting at 401
",2020-07-25T11:01:00.272,43.65395,-79.62161,,7.0,,9.0,
9,"starting at 401
",2020-07-25T11:01:00.524,43.65395,-79.62161,,,11.0,,
10,"starting at 401
",2020-07-25T11:01:01.270,43.65395,-79.62161,90.0,,,,
11,"starting at 401
",2020-07-25T11:01:01.271,43.65395,-79.62161,,,,,67.0
12,"starting at 401
",2020-07-25T11:01:01.272,43.65395,-79.62161,,6.0,,,
13,"starting at 401
",2020-07-25T11:01:01.273,43.65395,-79.62161,,,,8.0,
14,"starting at 401
",2020-07-25T11:01:01.767,43.65395,-79.62161,,,10.0,,
15,"starting at 401
",2020-07-25T11:01:02.520,43.65395,-79.62161,90.0,,,,
16,"starting at 401
",2020-07-25T11:01:02.521,43.65395,-79.62161,,,,,66.0
17,"starting at 401
",2020-07-25T11:01:02.523,43.65395,-79.62161,,6.0,,,
18,"starting at 401
",2020-07-25T11:01:02.524,43.65395,-79.62161,,,10.0,8.0,
19,"starting at 401
",2020-07-25T11:01:03.270,43.65395,-79.62161,89.0,,,,
20,"starting at 401
",2020-07-25T11:01:03.271,43.65395,-79.62161,,,,,67.0
21,"starting at 401
",2020-07-25T11:01:03.273,43.65395,-79.62161,,6.0,,,
22,"starting at 401
",2020-07-25T11:01:03.274,43.65395,-79.62161,,,,8.0,
23,"starting at 401
",2020-07-25T11:01:03.524,43.65395,-79.62161,,,10.0,,
24,"starting at 401
",2020-07-25T11:01:04.270,43.65395,-79.62161,90.0,,,,66.0
25,"starting at 401
",2020-07-25T11:01:04.271,43.65395,-79.62161,,5.0,,7.0,
26,"starting at 401
",2020-07-25T11:01:04.523,43.65395,-79.62161,,,9.0,,
27,"starting at 401
",2020-07-25T11:01:05.270,43.65395,-79.62161,89.0,,,,
28,"starting at 401
",2020-07-25T11:01:05.271,43.65395,-79.62161,,,,,67.0
29,"starting at 401
",2020-07-25T11:01:05.272,43.65395,-79.62161,,5.0,,7.0,
30,"starting at 401
",2020-07-25T11:01:05.523,43.65395,-79.62161,,,9.0,,
31,"starting at 401
",2020-07-25T11:01:06.270,43.65395,-79.62161,90.0,,,,67.0
32,"starting at 401
",2020-07-25T11:01:06.271,43.65395,-79.62161,,6.0,,8.0,
33,"starting at 401
",2020-07-25T11:01:06.766,43.65395,-79.62161,,,9.0,,
34,"starting at 401
",2020-07-25T11:01:07.270,43.65395,-79.62161,90.0,,,,67.0
35,"starting at 401
",2020-07-25T11:01:07.271,43.65395,-79.62161,,6.0,,,
36,"starting at 401
",2020-07-25T11:01:07.272,43.65395,-79.62161,,,,8.0,
37,"starting at 401
",2020-07-25T11:01:07.523,43.65395,-79.62161,,,9.0,,
38,"starting at 401
",2020-07-25T11:01:08.271,43.65395,-79.62161,90.0,,,,67.0
39,"starting at 401
",2020-07-25T11:01:08.272,43.65395,-79.62161,,6.0,,7.0,
40,"starting at 401
",2020-07-25T11:01:08.768,43.65395,-79.62161,,,9.0,,
41,"starting at 401
",2020-07-25T11:01:09.270,43.65395,-79.62161,90.0,,,,67.0
42,"starting at 401
",2020-07-25T11:01:09.271,43.65395,-79.62161,,5.0,,,
43,"starting at 401
",2020-07-25T11:01:09.272,43.65395,-79.62161,,,,7.0,
44,"starting at 401
",2020-07-25T11:01:09.525,43.65395,-79.62161,,,8.0,,
45,"starting at 401
",2020-07-25T11:01:10.270,43.65395,-79.62161,90.0,,,,67.0
46,"starting at 401
",2020-07-25T11:01:10.271,43.65395,-79.62161,,4.0,,,
47,"starting at 401
",2020-07-25T11:01:10.272,43.65395,-79.62161,,,,6.0,
48,"starting at 401
",2020-07-25T11:01:10.522,43.65395,-79.62161,,,7.0,,
49,"starting at 401
",2020-07-25T11:01:12.021,43.65395,-79.62161,90.0,,,,67.0
50,"starting at 401
",2020-07-25T11:01:12.022,43.65395,-79.62161,,3.0,8.0,6.0,
51,"starting at 401
",2020-07-25T11:01:12.520,43.65395,-79.62161,90.0,,,,
52,"starting at 401
",2020-07-25T11:01:12.521,43.65395,-79.62161,,3.0,8.0,6.0,67.0
53,"starting at 401
",2020-07-25T11:01:14.020,43.65395,-79.62161,90.0,,,,
54,"starting at 401
",2020-07-25T11:01:14.021,43.65395,-79.62161,,4.0,,,67.0
55,"starting at 401
",2020-07-25T11:01:14.021,43.65395,-79.62161,,,8.0,6.0,
56,"starting at 401
",2020-07-25T11:01:14.521,43.65395,-79.62161,89.0,,,,66.0
57,"starting at 401
",2020-07-25T11:01:14.522,43.65395,-79.62161,,4.0,8.0,6.0,
58,"starting at 401
",2020-07-25T11:01:15.271,43.6539611,-79.6216476,90.0,,,,66.0
59,"starting at 401
",2020-07-25T11:01:15.272,43.6539611,-79.6216476,,4.0,,6.0,
60,"starting at 401
",2020-07-25T11:01:15.768,43.6539611,-79.6216476,,,8.0,,
61,"starting at 401
",2020-07-25T11:01:16.271,43.6539611,-79.6216476,90.0,,,,67.0
62,"starting at 401
",2020-07-25T11:01:16.272,43.6539611,-79.6216476,,4.0,,6.0,
63,"starting at 401
",2020-07-25T11:01:16.523,43.6539611,-79.6216476,,,8.0,,
64,"starting at 401
",2020-07-25T11:01:18.020,43.6539902,-79.6217319,90.0,,,,
65,"starting at 401
",2020-07-25T11:01:18.021,43.6539902,-79.6217319,,4.0,,,67.0
66,"starting at 401
",2020-07-25T11:01:18.021,43.6539902,-79.6217319,,,8.0,6.0,
67,"starting at 401
",2020-07-25T11:01:18.768,43.6539902,-79.6217319,89.0,5.0,,,66.0
68,"starting at 401
",2020-07-25T11:01:18.769,43.6539902,-79.6217319,,,10.0,7.0,
69,"starting at 401
",2020-07-25T11:01:19.270,43.6539976,-79.6217545,89.0,,,,66.0
70,"starting at 401
",2020-07-25T11:01:19.271,43.6539976,-79.6217545,,5.0,,,
71,"starting at 401
",2020-07-25T11:01:19.272,43.6539976,-79.6217545,,,,7.0,
72,"starting at 401
",2020-07-25T11:01:20.521,43.6539976,-79.6217545,90.0,,10.0,,
73,"starting at 401
",2020-07-25T11:01:20.522,43.6539976,-79.6217545,,5.0,,,66.0
74,"starting at 401
",2020-07-25T11:01:20.523,43.6539976,-79.6217545,,,10.0,7.0,
75,"starting at 401
",2020-07-25T11:01:21.270,43.6540115,-79.6217908,90.0,,,,66.0
76,"starting at 401
",2020-07-25T11:01:21.271,43.6540115,-79.6217908,,5.0,,7.0,
77,"starting at 401
",2020-07-25T11:01:21.768,43.6540115,-79.6217908,,,10.0,,
78,"starting at 401
",2020-07-25T11:01:23.021,43.6540259,-79.6218282,90.0,,,,66.0
79,"starting at 401
",2020-07-25T11:01:23.022,43.6540259,-79.6218282,,6.0,,,
80,"starting at 401
",2020-07-25T11:01:23.024,43.6540259,-79.6218282,,,10.0,8.0,
81,"starting at 401
",2020-07-25T11:01:23.521,43.6540259,-79.6218282,90.0,6.0,,,66.0
82,"starting at 401
",2020-07-25T11:01:23.522,43.6540259,-79.6218282,,,10.0,8.0,
83,"starting at 401
",2020-07-25T11:01:24.270,43.6540259,-79.6218282,90.0,,,,66.0
84,"starting at 401
",2020-07-25T11:01:24.271,43.6540259,-79.6218282,,6.0,,8.0,
85,"starting at 401
",2020-07-25T11:01:24.768,43.6540259,-79.6218282,,,10.0,,
86,"starting at 401
",2020-07-25T11:01:25.272,43.6540417,-79.6218629,90.0,,,,66.0
87,"starting at 401
",2020-07-25T11:01:25.273,43.6540417,-79.6218629,,6.0,,8.0,
88,"starting at 401
",2020-07-25T11:01:25.768,43.6540417,-79.6218629,,,10.0,,
89,"starting at 401
",2020-07-25T11:01:26.520,43.6540417,-79.6218629,90.0,,,,
90,"starting at 401
",2020-07-25T11:01:26.521,43.6540417,-79.6218629,,6.0,,,66.0
91,"starting at 401
",2020-07-25T11:01:26.522,43.6540417,-79.6218629,,,10.0,8.0,
92,"starting at 401
",2020-07-25T11:01:27.270,43.6540575,-79.6218896,90.0,,,,66.0
93,"starting at 401
",2020-07-25T11:01:27.271,43.6540575,-79.6218896,,6.0,,8.0,
94,"starting at 401
",2020-07-25T11:01:27.768,43.6540575,-79.6218896,,,10.0,,
95,"starting at 401
",2020-07-25T11:01:29.022,43.6540723,-79.6219202,90.0,,,,66.0
96,"starting at 401
",2020-07-25T11:01:29.024,43.6540723,-79.6219202,,6.0,,,
97,"starting at 401
",2020-07-25T11:01:29.025,43.6540723,-79.6219202,,,10.0,8.0,
98,"starting at 401
",2020-07-25T11:01:29.521,43.6540723,-79.6219202,90.0,,,,
99,"starting at 401
",2020-07-25T11:01:29.522,43.6540723,-79.6219202,,6.0,,8.0,66.0
100,"starting at 401
",2020-07-25T11:01:29.523,43.6540723,-79.6219202,,,9.0,,
101,"starting at 401
",2020-07-25T11:01:30.271,43.6540788,-79.6219351,90.0,,,,66.0
102,"starting at 401
",2020-07-25T11:01:30.272,43.6540788,-79.6219351,,6.0,,,
103,"starting at 401
",2020-07-25T11:01:30.273,43.6540788,-79.6219351,,,,8.0,
104,"starting at 401
",2020-07-25T11:01:30.768,43.6540788,-79.6219351,,,9.0,,
105,"starting at 401
",2020-07-25T11:01:31.271,43.6540849,-79.6219505,90.0,,,,66.0
106,"starting at 401
",2020-07-25T11:01:31.272,43.6540849,-79.6219505,,6.0,,8.0,
107,"starting at 401
",2020-07-25T11:01:31.768,43.6540849,-79.6219505,,,9.0,,
108,"starting at 401
",2020-07-25T11:01:32.271,43.6540898,-79.6219669,90.0,,,,66.0
109,"starting at 401
",2020-07-25T11:01:32.272,43.6540898,-79.6219669,,6.0,,8.0,
110,"starting at 401
",2020-07-25T11:01:32.768,43.6540898,-79.6219669,,,9.0,,
111,"starting at 401
",2020-07-25T11:01:33.271,43.6540898,-79.6219669,90.0,,,,66.0
112,"starting at 401
",2020-07-25T11:01:33.272,43.6540898,-79.6219669,,6.0,,8.0,
113,"starting at 401
",2020-07-25T11:01:33.524,43.6540898,-79.6219669,,,9.0,,
114,"starting at 401
",2020-07-25T11:01:34.271,43.6540962,-79.6220024,90.0,,,,66.0
115,"starting at 401
",2020-07-25T11:01:34.272,43.6540962,-79.6220024,,6.0,,8.0,
116,"starting at 401
",2020-07-25T11:01:34.522,43.6540962,-79.6220024,,,10.0,,
117,"starting at 401
",2020-07-25T11:01:35.270,43.6540962,-79.6220024,90.0,,,,
118,"starting at 401
",2020-07-25T11:01:35.271,43.6540962,-79.6220024,,6.0,,,66.0
119,"starting at 401
",2020-07-25T11:01:35.272,43.6540962,-79.6220024,,,,8.0,
120,"starting at 401
",2020-07-25T11:01:35.521,43.6540962,-79.6220024,,,10.0,,
121,"starting at 401
",2020-07-25T11:01:36.271,43.6540976,-79.6220318,90.0,,,,
122,"starting at 401
",2020-07-25T11:01:36.272,43.6540976,-79.6220318,,5.0,,,66.0
123,"starting at 401
",2020-07-25T11:01:36.273,43.6540976,-79.6220318,,,,7.0,
124,"starting at 401
",2020-07-25T11:01:36.522,43.6540976,-79.6220318,,,9.0,,
125,"starting at 401
",2020-07-25T11:01:37.272,43.6540971,-79.6220453,90.0,,,,66.0
126,"starting at 401
",2020-07-25T11:01:37.273,43.6540971,-79.6220453,,5.0,,7.0,
127,"starting at 401
",2020-07-25T11:01:37.521,43.6540971,-79.6220453,,,9.0,,
128,"starting at 401
",2020-07-25T11:01:38.270,43.6540971,-79.6220453,90.0,,,,66.0
129,"starting at 401
",2020-07-25T11:01:38.271,43.6540971,-79.6220453,,5.0,,7.0,
130,"starting at 401
",2020-07-25T11:01:38.524,43.6540971,-79.6220453,,,9.0,,
131,"starting at 401
",2020-07-25T11:01:39.271,43.6540968,-79.6220538,90.0,,,,66.0
132,"starting at 401
",2020-07-25T11:01:39.272,43.6540968,-79.6220538,,4.0,,6.0,
133,"starting at 401
",2020-07-25T11:01:39.523,43.6540968,-79.6220538,,,8.0,,
134,"starting at 401
",2020-07-25T11:01:40.272,43.6540968,-79.6220538,90.0,,,,66.0
135,"starting at 401
",2020-07-25T11:01:40.273,43.6540968,-79.6220538,,4.0,,6.0,
136,"starting at 401
",2020-07-25T11:01:40.523,43.6540968,-79.6220538,,,8.0,,
137,"starting at 401
",2020-07-25T11:01:41.271,43.6540967,-79.6220568,90.0,,,,66.0
138,"starting at 401
",2020-07-25T11:01:41.272,43.6540967,-79.6220568,,4.0,,6.0,
139,"starting at 401
",2020-07-25T11:01:41.521,43.6540967,-79.6220568,,,7.0,,
140,"starting at 401
",2020-07-25T11:01:42.271,43.6540967,-79.6220568,90.0,,,,66.0
141,"starting at 401
",2020-07-25T11:01:42.272,43.6540967,-79.6220568,,4.0,,6.0,
142,"starting at 401
",2020-07-25T11:01:42.521,43.6540967,-79.6220568,,,7.0,,
143,"starting at 401
",2020-07-25T11:01:43.271,43.6540967,-79.6220579,90.0,,,,
144,"starting at 401
",2020-07-25T11:01:43.272,43.6540967,-79.6220579,,5.0,,,66.0
145,"starting at 401
",2020-07-25T11:01:43.273,43.6540967,-79.6220579,,,,7.0,
146,"starting at 401
",2020-07-25T11:01:43.768,43.6540967,-79.6220579,,,9.0,,
147,"starting at 401
",2020-07-25T11:01:45.020,43.6540967,-79.6220581,90.0,,,,
148,"starting at 401
",2020-07-25T11:01:45.021,43.6540967,-79.6220581,,5.0,,,66.0
149,"starting at 401
",2020-07-25T11:01:45.021,43.6540967,-79.6220581,,,9.0,7.0,
150,"starting at 401
",2020-07-25T11:01:45.522,43.6540967,-79.6220581,90.0,,,,66.0
151,"starting at 401
",2020-07-25T11:01:45.523,43.6540967,-79.6220581,,6.0,10.0,8.0,
152,"starting at 401
",2020-07-25T11:01:46.272,43.6540967,-79.6220581,90.0,,,,66.0
153,"starting at 401
",2020-07-25T11:01:46.273,43.6540967,-79.6220581,,6.0,,7.0,
154,"starting at 401
",2020-07-25T11:01:46.768,43.6540967,-79.6220581,,,9.0,,
155,"starting at 401
",2020-07-25T11:01:47.271,43.6540967,-79.6220582,90.0,,,,67.0
156,"starting at 401
",2020-07-25T11:01:47.272,43.6540967,-79.6220582,,6.0,,7.0,
157,"starting at 401
",2020-07-25T11:01:47.767,43.6540967,-79.6220582,,,9.0,,
158,"starting at 401
",2020-07-25T11:01:48.271,43.6540967,-79.6220582,90.0,,,,66.0
159,"starting at 401
",2020-07-25T11:01:48.272,43.6540967,-79.6220582,,6.0,,8.0,
160,"starting at 401
",2020-07-25T11:01:49.521,43.6540967,-79.6220583,90.0,,10.0,,
161,"starting at 401
",2020-07-25T11:01:49.522,43.6540967,-79.6220583,,6.0,,,66.0
162,"starting at 401
",2020-07-25T11:01:49.523,43.6540967,-79.6220583,,,10.0,8.0,
163,"starting at 401
",2020-07-25T11:01:50.270,43.6540967,-79.6220583,90.0,,,,66.0
164,"starting at 401
",2020-07-25T11:01:50.271,43.6540967,-79.6220583,,6.0,,7.0,
165,"starting at 401
",2020-07-25T11:01:50.768,43.6540967,-79.6220583,,,9.0,,
166,"starting at 401
",2020-07-25T11:01:51.271,43.6540967,-79.6220583,90.0,,,,66.0
167,"starting at 401
",2020-07-25T11:01:51.272,43.6540967,-79.6220583,,6.0,,7.0,
168,"starting at 401
",2020-07-25T11:01:51.523,43.6540967,-79.6220583,,,9.0,,
169,"starting at 401
",2020-07-25T11:01:53.029,43.6540967,-79.6220583,90.0,,,,
170,"starting at 401
",2020-07-25T11:01:53.029,43.6540967,-79.6220583,,,,,66.0
171,"starting at 401
",2020-07-25T11:01:53.030,43.6540967,-79.6220583,,6.0,8.0,7.0,
172,"starting at 401
",2020-07-25T11:01:53.521,43.6540967,-79.6220583,90.0,,,,
173,"starting at 401
",2020-07-25T11:01:53.522,43.6540967,-79.6220583,,6.0,,7.0,66.0
174,"starting at 401
",2020-07-25T11:01:53.523,43.6540967,-79.6220583,,,8.0,,
175,"starting at 401
",2020-07-25T11:01:54.270,43.6540967,-79.6220583,90.0,,,,66.0
176,"starting at 401
",2020-07-25T11:01:54.271,43.6540967,-79.6220583,,6.0,,,
177,"starting at 401
",2020-07-25T11:01:54.272,43.6540967,-79.6220583,,,,7.0,
178,"starting at 401
",2020-07-25T11:01:54.767,43.6540967,-79.6220583,,,8.0,,
179,"starting at 401
",2020-07-25T11:01:55.271,43.6540967,-79.6220583,90.0,,,,66.0
180,"starting at 401
",2020-07-25T11:01:55.272,43.6540967,-79.6220583,,5.0,,7.0,
181,"starting at 401
",2020-07-25T11:01:55.522,43.6540967,-79.6220583,,,8.0,,
182,"starting at 401
",2020-07-25T11:01:56.270,43.6540967,-79.6220583,90.0,,,,66.0
183,"starting at 401
",2020-07-25T11:01:56.271,43.6540967,-79.6220583,,5.0,,7.0,
184,"starting at 401
",2020-07-25T11:01:56.520,43.6540967,-79.6220583,,,8.0,,
185,"starting at 401
",2020-07-25T11:01:57.270,43.6540967,-79.6220583,90.0,,,,66.0
186,"starting at 401
",2020-07-25T11:01:57.271,43.6540967,-79.6220583,,6.0,,7.0,
187,"starting at 401
",2020-07-25T11:01:57.523,43.6540967,-79.6220583,,,8.0,,
188,"starting at 401
",2020-07-25T11:01:59.021,43.6540967,-79.6220583,90.0,,,,66.0
189,"starting at 401
",2020-07-25T11:01:59.021,43.6540967,-79.6220583,,6.0,8.0,7.0,
190,"starting at 401
",2020-07-25T11:01:59.520,43.6540967,-79.6220583,90.0,,,,
191,"starting at 401
",2020-07-25T11:01:59.521,43.6540967,-79.6220583,,6.0,9.0,8.0,66.0
192,"starting at 401
",2020-07-25T11:02:00.271,43.6540967,-79.6220583,90.0,,,,66.0
193,"starting at 401
",2020-07-25T11:02:00.272,43.6540967,-79.6220583,,5.0,,7.0,
194,"starting at 401
",2020-07-25T11:02:01.523,43.6540967,-79.6220583,90.0,,8.0,,66.0
195,"starting at 401
",2020-07-25T11:02:01.525,43.6540967,-79.6220583,,5.0,8.0,7.0,
196,"starting at 401
",2020-07-25T11:02:02.270,43.6540967,-79.6220583,90.0,,,,
197,"starting at 401
",2020-07-25T11:02:02.271,43.6540967,-79.6220583,,6.0,,,67.0
198,"starting at 401
",2020-07-25T11:02:02.272,43.6540967,-79.6220583,,,,7.0,
199,"starting at 401
",2020-07-25T11:02:02.768,43.6540967,-79.6220583,,,10.0,,
200,"starting at 401
",2020-07-25T11:02:03.270,43.6540967,-79.6220583,90.0,,,,67.0
201,"starting at 401
",2020-07-25T11:02:03.271,43.6540967,-79.6220583,,6.0,,7.0,
202,"starting at 401
",2020-07-25T11:02:03.768,43.6540967,-79.6220583,,,10.0,,
203,"starting at 401
",2020-07-25T11:02:05.020,43.6540967,-79.6220583,90.0,,,,
204,"starting at 401
",2020-07-25T11:02:05.021,43.6540967,-79.6220583,,,,,66.0
205,"starting at 401
",2020-07-25T11:02:05.021,43.6540967,-79.6220583,,6.0,10.0,8.0,
206,"starting at 401
",2020-07-25T11:02:05.522,43.6540967,-79.6220583,90.0,,,,66.0
207,"starting at 401
",2020-07-25T11:02:05.523,43.6540967,-79.6220583,,6.0,10.0,8.0,
208,"starting at 401
",2020-07-25T11:02:06.271,43.6540967,-79.6220583,90.0,,,,67.0
209,"starting at 401
",2020-07-25T11:02:06.272,43.6540967,-79.6220583,,5.0,,7.0,
210,"starting at 401
",2020-07-25T11:02:06.768,43.6540967,-79.6220583,,,10.0,,
211,"starting at 401
",2020-07-25T11:02:07.271,43.6540967,-79.6220583,90.0,,,,67.0
212,"starting at 401
",2020-07-25T11:02:07.272,43.6540967,-79.6220583,,6.0,,,
213,"starting at 401
",2020-07-25T11:02:07.273,43.6540967,-79.6220583,,,,8.0,
214,"starting at 401
",2020-07-25T11:02:07.767,43.6540967,-79.6220583,,,11.0,,
215,"starting at 401
",2020-07-25T11:02:08.271,43.6540967,-79.6220583,90.0,,,,66.0
216,"starting at 401
",2020-07-25T11:02:08.272,43.6540967,-79.6220583,,6.0,,8.0,
217,"starting at 401
",2020-07-25T11:02:08.768,43.6540967,-79.6220583,,,11.0,,
218,"starting at 401
",2020-07-25T11:02:09.270,43.6540967,-79.6220583,90.0,,,,67.0
219,"starting at 401
",2020-07-25T11:02:09.271,43.6540967,-79.6220583,,6.0,,9.0,
220,"starting at 401
",2020-07-25T11:02:09.768,43.6540967,-79.6220583,,,13.0,,
221,"starting at 401
",2020-07-25T11:02:10.270,43.6540967,-79.6220583,90.0,,,,66.0
222,"starting at 401
",2020-07-25T11:02:10.271,43.6540967,-79.6220583,,6.0,,9.0,
223,"starting at 401
",2020-07-25T11:02:10.768,43.6540967,-79.6220583,,,13.0,,
224,"starting at 401
",2020-07-25T11:02:11.271,43.6540967,-79.6220583,90.0,,,,67.0
225,"starting at 401
",2020-07-25T11:02:11.272,43.6540967,-79.6220583,,6.0,,8.0,
226,"starting at 401
",2020-07-25T11:02:11.768,43.6540967,-79.6220583,,,12.0,,
227,"starting at 401
",2020-07-25T11:02:12.270,43.6540967,-79.6220583,90.0,,,,66.0
228,"starting at 401
",2020-07-25T11:02:12.271,43.6540967,-79.6220583,,6.0,,8.0,
229,"starting at 401
",2020-07-25T11:02:12.768,43.6540967,-79.6220583,,,12.0,,
230,"starting at 401
",2020-07-25T11:02:13.271,43.6540967,-79.6220583,90.0,,,,
231,"starting at 401
",2020-07-25T11:02:13.272,43.6540967,-79.6220583,,6.0,,,66.0
232,"starting at 401
",2020-07-25T11:02:13.273,43.6540967,-79.6220583,,,,9.0,
233,"starting at 401
",2020-07-25T11:02:13.768,43.6540967,-79.6220583,,,12.0,,
234,"starting at 401
",2020-07-25T11:02:15.025,43.6540967,-79.6220583,90.0,,,,
235,"starting at 401
",2020-07-25T11:02:15.025,43.6540967,-79.6220583,,6.0,,,67.0
236,"starting at 401
",2020-07-25T11:02:15.026,43.6540967,-79.6220583,,,12.0,8.0,
237,"starting at 401
",2020-07-25T11:02:15.521,43.6540967,-79.6220583,90.0,,,,66.0
238,"starting at 401
",2020-07-25T11:02:15.522,43.6540967,-79.6220583,,5.0,11.0,7.0,
239,"starting at 401
",2020-07-25T11:02:16.270,43.6540967,-79.6220583,90.0,,,,66.0
240,"starting at 401
",2020-07-25T11:02:16.271,43.6540967,-79.6220583,,5.0,,,
241,"starting at 401
",2020-07-25T11:02:16.272,43.6540967,-79.6220583,,,,8.0,
242,"starting at 401
",2020-07-25T11:02:16.768,43.6540967,-79.6220583,,,11.0,,
243,"starting at 401
",2020-07-25T11:02:18.021,43.6540967,-79.6220583,90.0,,,,67.0
244,"starting at 401
",2020-07-25T11:02:18.021,43.6540967,-79.6220583,,5.0,11.0,8.0,
245,"starting at 401
",2020-07-25T11:02:18.521,43.6540967,-79.6220583,90.0,,,,
246,"starting at 401
",2020-07-25T11:02:18.522,43.6540967,-79.6220583,,6.0,15.0,8.0,67.0
247,"starting at 401
",2020-07-25T11:02:20.021,43.6540967,-79.6220583,90.0,,,,66.0
248,"starting at 401
",2020-07-25T11:02:20.022,43.6540967,-79.6220583,,6.0,15.0,8.0,
249,"starting at 401
",2020-07-25T11:02:20.521,43.6540967,-79.6220583,90.0,,,,
250,"starting at 401
",2020-07-25T11:02:20.522,43.6540967,-79.6220583,,5.0,13.0,8.0,66.0
251,"starting at 401
",2020-07-25T11:02:21.271,43.6540967,-79.6220583,90.0,,,,67.0
252,"starting at 401
",2020-07-25T11:02:21.272,43.6540967,-79.6220583,,5.0,,,
253,"starting at 401
",2020-07-25T11:02:21.273,43.6540967,-79.6220583,,,,8.0,
254,"starting at 401
",2020-07-25T11:02:21.768,43.6540967,-79.6220583,,,12.0,,
255,"starting at 401
",2020-07-25T11:02:22.271,43.6540967,-79.6220583,90.0,,,,67.0
256,"starting at 401
",2020-07-25T11:02:22.272,43.6540967,-79.6220583,,5.0,,8.0,
257,"starting at 401
",2020-07-25T11:02:22.521,43.6540967,-79.6220583,,,12.0,,
258,"starting at 401
",2020-07-25T11:02:23.271,43.6540967,-79.6220583,90.0,,,,67.0
259,"starting at 401
",2020-07-25T11:02:23.272,43.6540967,-79.6220583,,5.0,,8.0,
260,"starting at 401
",2020-07-25T11:02:23.521,43.6540967,-79.6220583,,,12.0,,
261,"starting at 401
",2020-07-25T11:02:24.271,43.6540967,-79.6220583,90.0,,,,67.0
262,"starting at 401
",2020-07-25T11:02:24.272,43.6540967,-79.6220583,,5.0,,8.0,
263,"starting at 401
",2020-07-25T11:02:25.523,43.6540967,-79.6220583,90.0,,12.0,,67.0
264,"starting at 401
",2020-07-25T11:02:25.524,43.6540967,-79.6220583,,5.0,,,
265,"starting at 401
",2020-07-25T11:02:25.525,43.6540967,-79.6220583,,,11.0,7.0,
266,"starting at 401
",2020-07-25T11:02:26.270,43.6540967,-79.6220583,90.0,,,,
267,"starting at 401
",2020-07-25T11:02:26.271,43.6540967,-79.6220583,,,,,67.0
268,"starting at 401
",2020-07-25T11:02:26.272,43.6540967,-79.6220583,,5.0,,7.0,
269,"starting at 401
",2020-07-25T11:02:26.767,43.6540967,-79.6220583,,,11.0,,
270,"starting at 401
",2020-07-25T11:02:27.271,43.6540967,-79.6220583,90.0,,,,67.0
271,"starting at 401
",2020-07-25T11:02:27.272,43.6540967,-79.6220583,,4.0,,6.0,
272,"starting at 401
",2020-07-25T11:02:27.767,43.6540967,-79.6220583,,,10.0,,
273,"starting at 401
",2020-07-25T11:02:28.271,43.6540967,-79.6220583,90.0,,,,66.0
274,"starting at 401
",2020-07-25T11:02:28.272,43.6540967,-79.6220583,,5.0,,,
275,"starting at 401
",2020-07-25T11:02:28.273,43.6540967,-79.6220583,,,,7.0,
276,"starting at 401
",2020-07-25T11:02:28.768,43.6540967,-79.6220583,,,11.0,,
277,"starting at 401
",2020-07-25T11:02:30.020,43.6540967,-79.6220583,90.0,,,,
278,"starting at 401
",2020-07-25T11:02:30.021,43.6540967,-79.6220583,,5.0,,,66.0
279,"starting at 401
",2020-07-25T11:02:30.021,43.6540967,-79.6220583,,,11.0,7.0,
280,"starting at 401
",2020-07-25T11:02:30.522,43.6540967,-79.6220583,90.0,,,,66.0
281,"starting at 401
",2020-07-25T11:02:30.523,43.6540967,-79.6220583,,5.0,10.0,6.0,
282,"starting at 401
",2020-07-25T11:02:32.020,43.6540967,-79.6220583,90.0,,,,
283,"starting at 401
",2020-07-25T11:02:32.021,43.6540967,-79.6220583,,5.0,,,67.0
284,"starting at 401
",2020-07-25T11:02:32.021,43.6540967,-79.6220583,,,10.0,6.0,
