Date Time, Monitor ID, Location ID, O3(ppm)
25 Jul 2020 12:32,2,1,0.000
25 Jul 2020 12:33,2,1,0.000
25 Jul 2020 12:34,2,1,0.000
25 Jul 2020 12:35,2,1,0.000
25 Jul 2020 12:36,2,1,0.000
25 Jul 2020 12:37,2,1,0.000
25 Jul 2020 12:38,2,1,0.000
25 Jul 2020 12:39,2,1,0.000
25 Jul 2020 12:40,2,1,0.000
25 Jul 2020 12:41,2,1,0.000
25 Jul 2020 12:42,2,1,0.000
25 Jul 2020 12:43,2,1,0.001
25 Jul 2020 12:44,2,1,0.014
25 Jul 2020 12:45,2,1,0.022
25 Jul 2020 12:46,2,1,0.021
25 Jul 2020 12:47,2,1,0.021
25 Jul 2020 12:48,2,1,0.024
25 Jul 2020 12:49,2,1,0.019
25 Jul 2020 12:50,2,1,0.020
25 Jul 2020 12:51,2,1,0.020
25 Jul 2020 12:52,2,1,0.000
25 Jul 2020 12:53,2,1,0.000
25 Jul 2020 12:54,2,1,0.000
25 Jul 2020 12:55,2,1,0.000
25 Jul 2020 12:56,2,1,0.000
25 Jul 2020 12:57,2,1,0.000
25 Jul 2020 12:58,2,1,0.000
25 Jul 2020 12:59,2,1,0.000
25 Jul 2020 13:00,2,1,0.000
25 Jul 2020 13:01,2,1,0.000
25 Jul 2020 13:02,2,1,0.000
25 Jul 2020 13:03,2,1,0.000
25 Jul 2020 13:04,2,1,0.000
25 Jul 2020 13:05,2,1,0.000
25 Jul 2020 13:06,2,1,0.000
25 Jul 2020 13:07,2,1,0.000
25 Jul 2020 13:08,2,1,0.000
25 Jul 2020 13:09,2,1,0.000
25 Jul 2020 13:10,2,1,0.000
25 Jul 2020 13:11,2,1,0.000
25 Jul 2020 13:12,2,1,0.000
25 Jul 2020 13:13,2,1,0.000
25 Jul 2020 13:14,2,1,0.000
25 Jul 2020 13:15,2,1,0.000
25 Jul 2020 13:16,2,1,0.000
25 Jul 2020 13:17,2,1,0.000
25 Jul 2020 13:18,2,1,0.000
25 Jul 2020 13:19,2,1,0.000
25 Jul 2020 13:20,2,1,0.000
25 Jul 2020 13:21,2,1,0.000
25 Jul 2020 13:22,2,1,0.000
25 Jul 2020 13:23,2,1,0.000
