Date Time, Monitor ID, Location ID, CO2(ppm)
25 Jul 2020 12:29,1,1,389
25 Jul 2020 12:30,1,1,395
25 Jul 2020 12:31,1,1,383
25 Jul 2020 12:32,1,1,383
25 Jul 2020 12:33,1,1,383
25 Jul 2020 12:34,1,1,383
25 Jul 2020 12:35,1,1,383
25 Jul 2020 12:36,1,1,389
25 Jul 2020 12:37,1,1,395
25 Jul 2020 12:38,1,1,395
25 Jul 2020 12:39,1,1,389
25 Jul 2020 12:40,1,1,389
25 Jul 2020 12:41,1,1,389
25 Jul 2020 12:42,1,1,395
25 Jul 2020 12:43,1,1,395
25 Jul 2020 12:44,1,1,389
25 Jul 2020 12:45,1,1,389
25 Jul 2020 12:46,1,1,383
25 Jul 2020 12:47,1,1,383
25 Jul 2020 12:48,1,1,377
25 Jul 2020 12:49,1,1,383
25 Jul 2020 12:50,1,1,389
25 Jul 2020 12:51,1,1,932
25 Jul 2020 12:52,1,1,1235
25 Jul 2020 12:53,1,1,1290
25 Jul 2020 12:54,1,1,1303
25 Jul 2020 12:55,1,1,1315
25 Jul 2020 12:56,1,1,1327
25 Jul 2020 12:57,1,1,1333
25 Jul 2020 12:58,1,1,1340
25 Jul 2020 12:59,1,1,1340
25 Jul 2020 13:00,1,1,1346
25 Jul 2020 13:01,1,1,1346
25 Jul 2020 13:02,1,1,1340
25 Jul 2020 13:03,1,1,1340
25 Jul 2020 13:04,1,1,1346
25 Jul 2020 13:05,1,1,1346
25 Jul 2020 13:06,1,1,1352
25 Jul 2020 13:07,1,1,1352
25 Jul 2020 13:08,1,1,1358
25 Jul 2020 13:09,1,1,1358
25 Jul 2020 13:10,1,1,1358
25 Jul 2020 13:11,1,1,1370
25 Jul 2020 13:59,1,1,2093
25 Jul 2020 14:00,1,1,1772
25 Jul 2020 14:01,1,1,1586
25 Jul 2020 14:02,1,1,1562
27 Jul 2020 09:32,1,1,883
27 Jul 2020 09:33,1,1,1031
27 Jul 2020 09:34,1,1,1025
