wavenumber,EPDM,Polystyrene,Polyethylene,Sample: Shopping bag
602.6459,0.2586256,0.07906443,0.001850065,0.02828672
603.128,0.2588811,0.0790812,0.001874748,0.02835319
603.6101,0.2591051,0.07906428,0.001890991,0.02841028
604.0922,0.2592679,0.0790112,0.001903761,0.02846204
604.5743,0.2593555,0.07892559,0.001918606,0.02851158
605.0565,0.2593766,0.07881736,0.00193892,0.02856134
605.5386,0.2593585,0.07870011,0.001964191,0.02861482
606.0207,0.259336,0.07858622,0.001990254,0.02867582
606.5028,0.2593376,0.07848351,0.002009893,0.02874845
606.9849,0.2593756,0.07839272,0.002015589,0.02883322
607.467,0.2594433,0.07830714,0.002001558,0.02892563
607.9492,0.259523,0.07821746,0.00196571,0.02901504
608.4313,0.2595974,0.07811676,0.001909968,0.02908928
608.9134,0.2596589,0.07800462,0.001839591,0.02913878
609.3955,0.2597121,0.07788912,0.001763299,0.02916214
609.8776,0.2597697,0.07778484,0.00169028,0.02916846
610.3597,0.2598434,0.07770757,0.001629899,0.02917492
610.8419,0.2599376,0.07766835,0.00159029,0.02919934
611.324,0.2600456,0.07766816,0.001576373,0.02925278
611.8061,0.2601528,0.07769728,0.001589263,0.0293336
612.2882,0.2602439,0.07773838,0.001625991,0.02942783
612.7703,0.260307,0.07777303,0.001680078,0.02951478
613.2524,0.2603352,0.07778941,0.001743532,0.02957665
613.7346,0.260325,0.07778705,0.001808614,0.02960609
614.2167,0.2602745,0.07777894,0.001870378,0.02961074
614.6988,0.2601846,0.07778721,0.001927791,0.02960929
615.1809,0.2600632,0.0778354,0.001982458,0.02962364
615.663,0.2599311,0.07794012,0.002037901,0.02966874
616.1451,0.2598244,0.07810327,0.002096276,0.02974613
616.6273,0.2597909,0.07831118,0.002156813,0.02984425
617.1094,0.2598763,0.07853612,0.002215381,0.02994234
617.5915,0.2601075,0.07874535,0.002265443,0.03001936
618.0736,0.2604826,0.07891034,0.002299365,0.03006176
618.5557,0.2609675,0.07901549,0.002311779,0.0300664
619.0378,0.2615085,0.07906315,0.00229935,0.03004066
619.52,0.2620526,0.07907214,0.002261918,0.02999691
620.0021,0.2625669,0.07907272,0.002201875,0.02994908
620.4842,0.2630489,0.07909655,0.002123114,0.02990846
620.9663,0.263522,0.07916941,0.002031569,0.02988384
621.4484,0.2640208,0.07930402,0.001935255,0.02988042
621.9305,0.2645739,0.07949957,0.00184444,0.02990291
622.4127,0.2651891,0.07974414,0.00177142,0.02995268
622.8948,0.2658529,0.08002026,0.001728248,0.03002774
623.3769,0.2665373,0.08031094,0.001723944,0.03012071
623.859,0.2672158,0.08060358,0.001761691,0.0302204
624.3411,0.2678729,0.08089009,0.001836324,0.03031273
624.8232,0.2685083,0.08116773,0.001935781,0.03038655
625.3054,0.2691305,0.08143651,0.002042993,0.03043611
625.7875,0.2697484,0.08170006,0.002141005,0.03046343
626.2696,0.2703612,0.08196708,0.002217356,0.03047672
626.7517,0.2709599,0.08225287,0.002266564,0.03048688
627.2338,0.2715299,0.08258005,0.002290894,0.03050276
627.7159,0.272063,0.08297495,0.002298156,0.03052908
628.1981,0.2725613,0.0834605,0.002297949,0.03056612
628.6802,0.2730368,0.08404539,0.00229879,0.03061119
629.1623,0.2735037,0.08471473,0.002305384,0.03066188
629.6444,0.2739695,0.08542541,0.002318353,0.03071822
630.1265,0.2744287,0.08610858,0.002335632,0.03078169
630.6086,0.2748649,0.08668074,0.002353213,0.03085414
631.0908,0.2752579,0.08706249,0.002367389,0.03093502
631.5729,0.2755957,0.08719672,0.00237535,0.03102137
632.055,0.2758811,0.08706365,0.002375669,0.03110791
632.5371,0.2761306,0.08668482,0.002368622,0.03119007
633.0192,0.2763685,0.08611815,0.002356833,0.03126537
633.5013,0.2766168,0.08544283,0.002344901,0.03133518
633.9835,0.2768866,0.08474165,0.002340185,0.03140248
634.4656,0.277178,0.08408476,0.002350726,0.03146951
634.9477,0.2774849,0.08352061,0.002383381,0.03153481
635.4298,0.2778026,0.08307355,0.002441369,0.03159387
635.9119,0.2781326,0.0827475,0.002522088,0.03164027
636.394,0.2784822,0.08253268,0.002616492,0.03167036
636.8762,0.2788593,0.08241264,0.002711539,0.03168612
637.3583,0.2792662,0.08236875,0.002792684,0.03169616
637.8404,0.2796963,0.08238244,0.00284905,0.03171286
638.3225,0.2801372,0.08243617,0.002875297,0.0317471
638.8046,0.2805766,0.08251347,0.002873739,0.03180295
639.2867,0.2810104,0.08260129,0.002851791,0.03187613
639.7689,0.2814439,0.08269022,0.002818545,0.0319552
640.251,0.2818881,0.08277673,0.002782172,0.03202787
640.7331,0.2823509,0.08286214,0.002746475,0.0320864
641.2152,0.282832,0.08295143,0.002711631,0.03213286
641.6973,0.2833201,0.08304954,0.002676116,0.03217747
642.1794,0.2837996,0.08315988,0.002638859,0.03223499
642.6616,0.2842603,0.08328198,0.002601851,0.03231788
643.1437,0.2847049,0.08341295,0.002570504,0.03243154
643.6258,0.2851507,0.08354867,0.002551773,0.03257164
644.1079,0.2856201,0.08368637,0.002552046,0.03272751
644.59,0.28613,0.08382541,0.002573972,0.03288619
645.0721,0.2866811,0.08396766,0.002615623,0.03303837
645.5543,0.287256,0.08411533,0.002670581,0.0331801
646.0364,0.2878278,0.0842694,0.002730143,0.03331285
646.5185,0.2883747,0.08442879,0.002785767,0.03344036
647.0006,0.2888939,0.08458999,0.00283158,0.03356519
647.4827,0.2894074,0.08474892,0.002865155,0.03368761
647.9648,0.2899554,0.08490187,0.002887692,0.03380585
648.447,0.2905811,0.08504733,0.002901963,0.03391849
648.9291,0.2913166,0.08518578,0.002911201,0.03402662
649.4112,0.2921697,0.08531879,0.002917716,0.03413405
649.8933,0.2931261,0.08544853,0.002921764,0.03424596
650.3754,0.2941581,0.08557631,0.002922317,0.03436496
650.8575,0.2952367,0.08570343,0.002917671,0.03449019
651.3397,0.2963403,0.08583146,0.002906355,0.03461658
651.8218,0.2974579,0.08596309,0.002888594,0.03473821
652.3039,0.2985862,0.08610225,0.002866797,0.03485126
652.786,0.2997285,0.08625317,0.002845231,0.03495793
653.2681,0.3008941,0.08641826,0.002830205,0.03506558
653.7502,0.3021011,0.08659625,0.002828442,0.03518388
654.2324,0.3033787,0.08678202,0.002845809,0.03531963
654.7145,0.3047643,0.08696721,0.002885829,0.03547302
655.1966,0.3062951,0.08714295,0.002948477,0.03563642
655.6787,0.3079945,0.08730317,0.003029868,0.03579741
656.1608,0.3098645,0.08744718,0.003122554,0.03594474
656.6429,0.3118848,0.08758074,0.003217492,0.03607365
657.1251,0.3140267,0.08771446,0.003305935,0.03618908
657.6072,0.3162723,0.08786135,0.003381189,0.03630401
658.0893,0.3186314,0.08803311,0.00344055,0.0364348
658.5714,0.3211465,0.08823741,0.003485316,0.03659547
659.0535,0.3238823,0.08847641,0.00351938,0.03679257
659.5356,0.3269041,0.08874724,0.003549142,0.03702504
660.0178,0.3302586,0.08904403,0.003580212,0.03728604
660.4999,0.3339647,0.0893599,0.003616929,0.03756808
660.982,0.3380207,0.08968829,0.003661656,0.03786616
661.4641,0.3424196,0.09002458,0.003714147,0.03817954
661.9462,0.3471547,0.09036528,0.003773183,0.03851025
662.4283,0.3522061,0.09070755,0.003836935,0.03886044
662.9105,0.3575055,0.0910481,0.003904196,0.03922953
663.3926,0.3628906,0.09138349,0.003974727,0.03961344
663.8747,0.3680775,0.09171003,0.004049456,0.04000561
664.3568,0.3726667,0.09202528,0.004130041,0.04039919
664.8389,0.376195,0.09232939,0.00421842,0.04078888
665.321,0.3782192,0.09262548,0.004315646,0.04117038
665.8032,0.3784239,0.09292018,0.004421412,0.04153933
666.2853,0.3767424,0.09322206,0.004533233,0.0418887
666.7674,0.3734765,0.09353971,0.004646132,0.04220785
667.2495,0.3693634,0.09387928,0.004752993,0.04248321
667.7316,0.3654699,0.09424213,0.004845778,0.04270094
668.2137,0.3627957,0.09462453,0.004915914,0.04285073
668.6959,0.3617235,0.09501863,0.004956832,0.04292828
669.178,0.3618075,0.09541491,0.004964491,0.04293604
669.6601,0.3621384,0.09580576,0.004938708,0.04288168
670.1422,0.361881,0.0961882,0.004882979,0.04277552
670.6243,0.3605588,0.09656569,0.00480421,0.0426283
671.1064,0.358069,0.09694723,0.004711261,0.04245007
671.5886,0.3545821,0.09734479,0.004613264,0.04225026
672.0707,0.350421,0.09777046,0.004518094,0.04203918
672.5528,0.3459532,0.09823285,0.004431202,0.04182776
673.0349,0.3415063,0.09873626,0.004354835,0.0416268
673.517,0.3373135,0.09928002,0.004288333,0.04144497
673.9991,0.3335007,0.09986053,0.004229578,0.04128716
674.4813,0.3301086,0.1004729,0.004175824,0.04115375
674.9634,0.3271327,0.1011121,0.004125285,0.04104228
675.4455,0.3245589,0.1017724,0.004078197,0.04094906
675.9276,0.3223794,0.1024457,0.004036129,0.04087178
676.4097,0.3205873,0.1031199,0.00400181,0.04080979
676.8918,0.3191634,0.1037785,0.003977507,0.04076343
677.374,0.3180639,0.1044009,0.003964327,0.04073143
677.8561,0.3172246,0.1049664,0.003961223,0.04070932
678.3382,0.3165748,0.1054578,0.003966009,0.0406898
678.8203,0.316054,0.1058656,0.003975994,0.04066414
679.3024,0.3156202,0.1061908,0.003989092,0.04062589
679.7845,0.3152503,0.1064438,0.004004237,0.04057377
680.2667,0.3149271,0.1066432,0.004021843,0.04051291
680.7488,0.31463,0.1068114,0.004042285,0.04045221
681.2309,0.3143316,0.1069703,0.004065454,0.04040103
681.713,0.3140065,0.1071387,0.004090027,0.04036567
682.1951,0.3136436,0.1073299,0.00411388,0.04034676
682.6772,0.3132548,0.1075527,0.004134811,0.0403409
683.1594,0.3128722,0.1078117,0.004151921,0.04034302
683.6415,0.3125332,0.1081086,0.004165933,0.04034996
684.1236,0.3122627,0.1084441,0.004178745,0.04036165
684.6057,0.312057,0.1088184,0.004192357,0.04038069
685.0878,0.3118812,0.1092316,0.004206792,0.0404088
685.5699,0.3116818,0.1096841,0.004219543,0.04044491
686.0521,0.3114048,0.1101757,0.004225723,0.04048358
686.5342,0.3110123,0.1107053,0.004220318,0.04051691
687.0163,0.3104873,0.1112705,0.004200421,0.04053832
687.4984,0.3098268,0.1118676,0.004167342,0.04054585
687.9805,0.3090266,0.1124918,0.004127844,0.04054262
688.4626,0.3080687,0.1131386,0.004091463,0.04053577
688.9448,0.3069182,0.1138057,0.004068534,0.04053115
689.4269,0.3055321,0.1144945,0.004066298,0.04053
689.909,0.3038779,0.1152112,0.00408649,0.04052654
690.3911,0.3019485,0.115966,0.004125825,0.04051056
690.8732,0.2997693,0.1167711,0.004177091,0.04047157
691.3553,0.297392,0.1176379,0.004232775,0.04040423
691.8375,0.2948816,0.1185748,0.004287684,0.04031028
692.3196,0.2923013,0.119586,0.004339704,0.0401984
692.8017,0.2897027,0.1206726,0.004389569,0.04007918
693.2838,0.2871268,0.1218353,0.004438507,0.03996126
693.7659,0.2846122,0.1230788,0.00448647,0.03984854
694.248,0.2822012,0.124413,0.004531078,0.03974102
694.7302,0.2799425,0.1258557,0.004568023,0.03963795
695.2123,0.2778858,0.1274294,0.004592964,0.03954254
695.6944,0.2760715,0.1291583,0.004603651,0.03946239
696.1765,0.2745205,0.1310645,0.004600337,0.03940785
696.6586,0.2732295,0.1331637,0.004586317,0.03938629
697.1407,0.2721764,0.1354643,0.0045663,0.03939794
697.6229,0.2713286,0.1379658,0.004545014,0.03943353
698.105,0.2706534,0.1406604,0.004526068,0.03947815
698.5871,0.2701237,0.1435328,0.004512519,0.03951694
699.0692,0.2697175,0.146561,0.004506818,0.03954256
699.5513,0.2694158,0.1497172,0.004512245,0.03955832
700.0334,0.2691984,0.152969,0.004532618,0.03957645
700.5156,0.2690449,0.1562824,0.004570814,0.03961135
700.9977,0.26894,0.1596277,0.004628265,0.03967256
701.4798,0.2688782,0.1629855,0.004703209,0.03975979
701.9619,0.2688665,0.1663526,0.004791444,0.03986459
702.444,0.26892,0.169745,0.004887503,0.03997635
702.9261,0.2690541,0.1731971,0.004987056,0.04009055
703.4083,0.2692746,0.1767555,0.005088808,0.040213
703.8904,0.2695725,0.1804718,0.005194122,0.04035946
704.3725,0.2699264,0.1843928,0.005306518,0.040549
704.8546,0.2703105,0.1885531,0.005429172,0.04079573
705.3367,0.2707065,0.1929736,0.005563004,0.04110297
705.8188,0.2711095,0.1976615,0.005706975,0.04146316
706.301,0.2715286,0.2026153,0.00585888,0.04186364
706.7831,0.2719801,0.2078317,0.006018365,0.04229588
707.2652,0.2724774,0.2133101,0.006188533,0.04276064
707.7473,0.2730252,0.2190563,0.006376368,0.04326997
708.2294,0.273618,0.2250818,0.006590605,0.0438414
708.7115,0.2742454,0.2314005,0.006838663,0.044491
709.1937,0.2749009,0.2380264,0.007123991,0.04522887
709.6758,0.2755847,0.2449688,0.007444886,0.04605916
710.1579,0.2763021,0.2522317,0.007796389,0.04698621
710.64,0.2770593,0.2598116,0.008173881,0.04802226
711.1221,0.2778536,0.2677007,0.008576536,0.04919224
711.6042,0.2786728,0.275887,0.00901103,0.05053287
712.0864,0.2794991,0.2843523,0.009491191,0.05208825
712.5685,0.2803213,0.2930699,0.01003776,0.0539082
713.0506,0.2811458,0.3019981,0.01067639,0.05605259
713.5327,0.2820009,0.3110724,0.01143745,0.05860511
714.0148,0.2829311,0.3201994,0.0123549,0.06168799
714.4969,0.2839824,0.3292534,0.01346515,0.06546742
714.9791,0.2851841,0.3380796,0.01480155,0.07013357
715.4612,0.2865373,0.346506,0.0163842,0.07584932
715.9433,0.2880117,0.3543632,0.01820508,0.08267027
716.4254,0.2895575,0.3615124,0.0202129,0.09045435
716.9075,0.2911211,0.3678772,0.02230205,0.09878649
717.3896,0.2926575,0.3734703,0.02431504,0.1069573
717.8718,0.294136,0.3784084,0.02605869,0.1140289
718.3539,0.2955321,0.382908,0.02733762,0.1190037
718.836,0.2968121,0.3872572,0.02799438,0.121071
719.3181,0.2979178,0.3917686,0.02794686,0.1198481
719.8002,0.2987599,0.3967141,0.02720945,0.1155078
720.2823,0.2992245,0.4022589,0.02589092,0.1087282
720.7645,0.2991959,0.4084039,0.02416847,0.1004905
721.2466,0.2985845,0.4149461,0.02224853,0.09182063
721.7287,0.2973549,0.4214726,0.02032472,0.08357725
722.2108,0.2955422,0.4273941,0.01854698,0.07633555
722.6929,0.2932526,0.4320205,0.01700736,0.07036979
723.175,0.2906507,0.4346744,0.01574353,0.06570658
723.6572,0.2879335,0.4348124,0.01475482,0.06221499
724.1393,0.2853043,0.4321267,0.01402492,0.0597027
724.6214,0.2829459,0.4265922,0.01354016,0.05799606
725.1035,0.2809991,0.4184439,0.0133015,0.05698777
725.5856,0.279548,0.4081046,0.0133234,0.05664756
726.0677,0.2786148,0.3960844,0.0136231,0.05700079
726.5499,0.2781628,0.3828905,0.01420404,0.05808387
727.032,0.2781113,0.3689643,0.01503773,0.05989206
727.5141,0.2783553,0.3546483,0.01605169,0.06232867
727.9962,0.2787911,0.3401846,0.01712703,0.06517384
728.4783,0.2793345,0.325729,0.01810868,0.06807837
728.9604,0.2799306,0.3113736,0.0188284,0.07059439
729.4426,0.2805509,0.2971691,0.01913556,0.0722442
729.9247,0.281184,0.2831454,0.01892901,0.07261817
730.4068,0.2818223,0.2693221,0.01818183,0.07147521
730.8889,0.2824543,0.2557161,0.01694844,0.06881218
731.371,0.2830641,0.2423439,0.01535474,0.06487195
731.8531,0.2836375,0.2292219,0.01357042,0.06008492
732.3353,0.2841707,0.2163667,0.01177393,0.05496327
732.8174,0.2846742,0.2037965,0.01011947,0.04998738
733.2995,0.2851705,0.1915335,0.008714121,0.04551832
733.7816,0.285685,0.1796056,0.007609982,0.04175529
734.2637,0.286236,0.1680491,0.006809731,0.0387403
734.7458,0.2868266,0.1569084,0.006280333,0.03639903
735.228,0.287444,0.1462343,0.00596946,0.03459686
735.7101,0.288067,0.1360816,0.005819979,0.03319338
736.1922,0.2886735,0.1265047,0.005776994,0.03207776
736.6743,0.2892468,0.1175525,0.005791505,0.0311802
737.1564,0.2897768,0.109263,0.0058206,0.03046228
737.6385,0.2902546,0.1016591,0.00582881,0.02989875
738.1207,0.2906671,0.09474597,0.005791107,0.02946048
738.6028,0.2909933,0.08851076,0.005697237,0.02910882
739.0849,0.2912083,0.08292546,0.005554833,0.02880044
739.567,0.2912908,0.07795266,0.005387574,0.02849879
740.0491,0.2912329,0.07355248,0.00522823,0.02818354
740.5313,0.2910424,0.06968755,0.005108196,0.02785331
741.0134,0.2907394,0.06632683,0.005046274,0.02752074
741.4955,0.2903456,0.06344417,0.00504264,0.02720346
741.9776,0.2898704,0.06101447,0.00507871,0.02691541
742.4597,0.2893038,0.05900796,0.005124147,0.02666272
742.9418,0.2886177,0.05738547,0.005147297,0.02644407
743.424,0.2877778,0.05609748,0.005125023,0.02625464
743.9061,0.2867609,0.05508643,0.005048794,0.02608887
744.3882,0.285568,0.05429304,0.004924524,0.02594175
744.8703,0.2842293,0.0536629,0.004768446,0.02580624
745.3524,0.2827983,0.05315263,0.004600247,0.02567252
745.8345,0.2813376,0.05273167,0.004437879,0.02552755
746.3167,0.2799017,0.05238138,0.004294692,0.02535869
746.7988,0.2785258,0.05209063,0.004179114,0.02515787
747.2809,0.2772245,0.0518518,0.004095905,0.0249257
747.763,0.2759966,0.05165736,0.004046685,0.02467093
748.2451,0.2748371,0.05149935,0.004029269,0.02440676
748.7272,0.2737454,0.05137093,0.004036685,0.02414502
749.2094,0.2727325,0.05126886,0.00405702,0.02389182
749.6915,0.2718188,0.05119509,0.00407537,0.02364649
750.1736,0.2710305,0.05115684,0.00407762,0.02340553
750.6557,0.2703908,0.05116322,0.004055353,0.02316759
751.1378,0.2699155,0.0512222,0.004008628,0.0229381
751.6199,0.2696075,0.0513366,0.003946079,0.02272863
752.1021,0.2694546,0.05150177,0.003881092,0.02255208
752.5842,0.2694301,0.0517062,0.00382544,0.0224154
753.0663,0.2694947,0.05193428,0.003784761,0.02231417
753.5484,0.2696016,0.05216975,0.003755799,0.02223168
754.0305,0.2697051,0.05239961,0.003728368,0.02214465
754.5126,0.2697696,0.05261679,0.003691149,0.02203175
754.9948,0.269777,0.05282022,0.003637753,0.02188209
755.4769,0.2697303,0.05301452,0.003570616,0.02169912
755.959,0.2696486,0.05320647,0.003501331,0.02149784
756.4411,0.2695577,0.05340397,0.003446022,0.02129789
756.9232,0.2694778,0.05361311,0.003419501,0.02111515
757.4053,0.2694152,0.05383761,0.003429649,0.02095636
757.8875,0.2693596,0.05407873,0.003474206,0.02081924
758.3696,0.2692913,0.05433562,0.00354241,0.02069619
758.8517,0.2691931,0.05460636,0.003619299,0.02058055
759.3338,0.2690627,0.05488826,0.003691194,0.02046989
759.8159,0.2689168,0.05517865,0.003749246,0.02036687
760.298,0.2688079,0.05547507,0.003791638,0.02027474
760.7802,0.2687457,0.05577534,0.003821523,0.02019398
761.2623,0.2687506,0.05607826,0.003844278,0.02011983
761.7444,0.2688322,0.05638358,0.003864307,0.0200434
762.2265,0.2689849,0.05669244,0.003883109,0.01995593
762.7086,0.2691901,0.05700734,0.003899328,0.01985393
763.1907,0.2694208,0.05733183,0.003909633,0.01974061
763.6729,0.2696494,0.05766934,0.003910815,0.01962468
764.155,0.2698554,0.05802272,0.003901061,0.01951567
764.6371,0.2700326,0.05839276,0.003880969,0.01941912
765.1192,0.2701882,0.05877765,0.003853698,0.01933338
765.6013,0.2703399,0.05917369,0.003823933,0.01925137
766.0834,0.2705092,0.05957601,0.003797494,0.01916498
766.5656,0.2707136,0.05998039,0.003779677,0.01907043
767.0477,0.2709601,0.06038416,0.003774274,0.01897062
767.5298,0.2712443,0.06078751,0.003782106,0.01887447
768.0119,0.2715528,0.06119277,0.00380088,0.01879171
768.494,0.2718692,0.06160362,0.003825188,0.01872833
768.9761,0.27218,0.06202317,0.0038486,0.01868287
769.4583,0.2724789,0.06245244,0.003865158,0.01864748
769.9404,0.2727676,0.06288993,0.003871907,0.01861153
770.4225,0.2730533,0.06333168,0.003869602,0.01856751
770.9046,0.2733446,0.06377254,0.003862593,0.01851385
771.3867,0.2736483,0.06420773,0.003856842,0.01845542
771.8688,0.2739675,0.06463405,0.003856874,0.0183991
772.351,0.274304,0.06505142,0.003864592,0.01835007
772.8331,0.2746595,0.06546172,0.003878067,0.01830808
773.3152,0.275039,0.06586847,0.003892752,0.01826834
773.7973,0.2754502,0.066275,0.003903641,0.0182238
774.2794,0.2759005,0.0666845,0.003907487,0.01817127
774.7615,0.2763927,0.06709863,0.003903574,0.01811336
775.2437,0.2769195,0.06751759,0.003893915,0.01805777
775.7258,0.2774603,0.06794039,0.003881123,0.01801362
776.2079,0.2779841,0.06836616,0.003866834,0.01798673
776.69,0.2784526,0.0687937,0.003851095,0.01797507
777.1721,0.278829,0.06922301,0.003831952,0.01796991
777.6542,0.2790848,0.06965483,0.003808018,0.01795839
778.1364,0.2792068,0.07009202,0.003779155,0.01793012
778.6185,0.2791985,0.0705388,0.003747964,0.01788095
779.1006,0.2790791,0.07100108,0.003719033,0.0178146
779.5827,0.2788787,0.07148549,0.003696829,0.0177402
780.0648,0.278634,0.07199924,0.003683976,0.01766819
780.5469,0.2783808,0.0725484,0.003679444,0.01760533
781.0291,0.2781509,0.0731383,0.00367883,0.01755341
781.5112,0.277967,0.07377236,0.003675962,0.01750979
781.9933,0.2778412,0.07445328,0.003665288,0.01747031
782.4754,0.2777742,0.07518277,0.003643676,0.01743212
782.9575,0.277757,0.07596286,0.00361158,0.01739497
