Wavelength (nm),0.001 M SDS,0.0016 M SDS,0.004 M SDS,0.0048 M SDS,0.0056 M SDS,0.0064 M SDS,0.0072 M SDS,0.008 M SDS,0.012 M SDS
542.5,55.528,27.846,17.071,11.643,15.146,36.996,74.822999,484.657,504.07
543,60.416,30.081,17.617,10.008,12.743,40.452,77.003,475.296,470.91
543.5,60.336,31.829,15.803,12.143,13.109,42.521,73.7,461.591,482.442
544,65.031,29.74,14.12,12.739,13.597,36.584,67.742,447.345,424.183
544.5,59.113,28.301,12.953,11.297,10.822,33.805,68.244,435.118,452.208
545,48.665,28.245,13.09,9.257,12.808,35.841,69.033,430.914,456.317
545.5,51.566,26.318,13.953,6.513,13.544,37.784,65.583,411.826,434.194
546,49.957,27.404,15.501,9.507999,10.892,32.449,66.052,379.971,409.558
546.5,58.746,27.103,14.932,10.23,11.706,30.472,62.309,371.122,394.382
547,53.055,26.583,12.433,12.041,13.571,31.592,61.978,387.022,396.47
547.5,51.045,27.177,14.654,10.98,11.041,30.749,59.477,372.624,381.091
548,49.66,25.942,12.839,8.379,11.587,33.417,55.406,342.914,390.251
548.5,42.352,22.289,13.41,7.789,10.591,34.772,53.85,351.442,363.141
549,50.112,27.709,10.538,10.701,13.975,27.43,58.553,341.097,367.819
549.5,47.421,23.86,11.105,9.637,10.605,24.35,64.697,333.423,351.809
550,38.578,18.973,15.145,10.132,11.45,24.429,46.95,315.315,359.381
550.5,52.249,22.089,11.341,10.085,11.609,25.476,53.677,294.14,335.987
551,41.924,28.331,13.261,6.521,11.117,28.263,46.583,323.792,316.524
551.5,48.533,18.137,8.058999,8.177,9.22,19.715,47.577,304.811,298.72
552,52.932,19.666,12.314,7.368,8.311,23.267,49.441,272.799,284.62
552.5,32.876,19.367,14.523,8.169,5.774,21.463,52.317,281.823,293.465
553,40.233,16.044,13.66,8.590999,9.206,22.709,45.723,276.564,282.424
553.5,39.339,17.594,13.688,9.606999,8.349,19.692,35.744,256.666,263.814
554,35.303,17.024,11.717,5.999,7.027,20.485,37.947,264.932,266.603
554.5,37.384,19.959,9.065,8.407,8.295,19.902,48.367,248.72,266.471
555,33.445,15.797,7.742,5.309,10.027,23.096,50.078,249.515,265.541
555.5,30.357,14.641,8.973,6.876,8.788,26.484,38.931,246.401,257.444
556,32.184,17.952,7.236,4.243,7.408,19.006,43.456,242.875,257.819
556.5,32.14,17.628,8.877,6.862,6.277,17.182,41.044,237.331,238.147
557,31.331,15.351,9.51,8.125,8.724,16.394,41.868,224.88,235.146
557.5,31.684,14.671,7.721,6.198,7.369,18.436,41.523,209.232,236.017
558,32.64,17.591,6.812,5.461,7.065,19.581,38.655,208.234,233.754
558.5,26.993,16.542,7.839,4.626,7.029,17.749,38.745,201.161,218.952
559,30.362,12.986,9.914,5.394,4.972,18.294,39.971,193.202,221.923
559.5,32.086,16.866,9.445,4.766,7.718,17.091,39.684,191.573,206.398
560,27.766,14.19,8.285,4.36,8.73,13.874,35.899,194.979,193.996
560.5,25.647,15.211,7.174,4.11,6.366,11.886,35.587,198.383,200.131
561,29.878,15.553,6.199,5.255,6.139,17.943,33.943,193.625,190.41
561.5,30.145,14.702,7.463,4.412,6.123,19.92,31.213,182.912,189.681
562,26.048,10.808,5.456,4.088,5.238,16.361,31.893,172.352,194.955
562.5,25.027,11.972,5.397,5.458,5.888,17.769,30.432,194.821,183.074
563,21.765,12.586,4.299,4.677,7.224,14.607,29.815,168.664,177.349
563.5,21.683,13.92,5.698,4.767,5.211,17.399,33.342,153.877,177.997
564,28.405,12.684,8.742,5.263,4.774,12.804,28.645,158.983,165.815
564.5,26.764,14.555,7.728,4.245,6.093,13.662,31.936,158.143,158.895
565,24.542,14.819,7.126,3.533,4.249,15.263,32.866,164.552,152.468
565.5,21.722,12.105,6.488,3.437,6.329,16.699,32.489,162.537,160.352
566,22.068,10.335,6.959,4.073,3.852,12.313,26.904,154.72,152.787
566.5,19.826,11.173,6.711,4.144,6.464,11.439,33.845,153.028,172.623
567,19.156,14.167,6.328,5.003,4.249,14.476,27.745,143.485,155.387
567.5,24.352,13.451,4.602,3.708,4.073,12.159,26.446,136.798,134.898
568,22.333,11.404,3.926,5.382,5.759,10.376,19.862,137.811,154.245
568.5,18.869,9.250999,6.06,2.91,5.451,13.626,28.245,142.092,151.699
569,20.037,10.414,5.998,3.495,-0.08,13.316,22.183,153.316,150.427
569.5,23.576,10.946,3.765,4.498,4.431,9.193,25.964,125.157,145.438
570,18.816,9.483,7.02,3.739,6.525,10.692,21.35,132.592,122.343
570.5,21.922,6.96,5.851,4.126,2.515,11.575,23.597,136.249,126.026
571,20.703,8.771,5.361,4.007,4.451,14.304,25.956,135.705,112.618
571.5,21.759,10.433,5.644,3.045,5.969,11.366,23.925,133.388,123.875
572,17.349,10.141,6.465,4.671,4.387,9.119,19.936,120.943,128.344
572.5,18.559,11.49,4.348,3.275,4.232,11.297,22.372,117.524,120.706
573,18.374,10.167,5.605,3.143,7.205,11.554,22.074,117.8,124.919
573.5,18.668,10.188,5.12,3.829,4.902,9.51,19.273,115.492,107.31
574,16.479,9.028,3.279,2.976,3.83,6.519,20.004,109.882,102.74
574.5,17.24,10.663,3.88,3.027,2.594,7.675,19.241,105.778,114.086
575,17.579,11.326,2.794,3.59,2.917,10.724,20.258,102.399,115.151
575.5,16.281,10.909,2.787,2.771,2.733,11.234,22.759,102.47,108.651
576,14.835,9.401,3.52,2.188,2.896,11.043,22.943,103.241,105.746
576.5,15.237,10.203,3.944,1.79,3.294,10.44,21.405,95.074,102.45
577,14.518,8.849,5.491,3.8,4.053,7.925,22.663,97.876,112.281
577.5,13.55,8.717,4.251,3.275,3.384,8.361,17.374,97.051,106.911
578,17.323,9.077999,4.233,1.251,2.928,9.208,16.273,91.730999,100.979
578.5,21.296,9.337999,3.601,1.51,3.714,10.736,16.159,94.75,101.433
579,17.723,9.317,4.706,1.997,3.407,8.784,14.608,90.988,94.297
579.5,13.741,6.991,4.495,2.462,2.793,9.372,14.499,83.912,92.392
580,16.865,5.209,4.858,3.04,3.349,10.821,14.332,98.971999,86.754
580.5,15.773,7.57,4.279,3.034,4.835,6.671,20.154,91.2,86.194999
581,12.184,8.497999,3.617,2.632,3.109,9.241,16.333,80.866,84.006
581.5,14.086,6.91,3.684,3.573,2.27,8.195,15.026,78.566999,90.521
582,11.992,6.01,3.801,3.104,2.129,8.606,13.685,80.772,81.461
582.5,13.12,8.372,4.422,3.751,3.402,9.006,11.528,77.577,84.644
583,14.252,6.068,3.848,2.319,4.043,6.825,11.197,87.94,80.074
583.5,11.233,3.661,3.068,2.537,4.038,9.164,14.043,78.792,80.03
584,11.669,4.693,2.224,3.637,4.246,6.043,12.494,92.456999,87.381
584.5,12.685,6.092,2.342,4.019,5.401,6.216,16.639,68.145,69.199
585,9.106999,4.383,3.577,2.223,3.276,8.404,13.631,70.354,82.141
585.5,7.631,5.38,3.021,1.507,3.044,5.042,11.53,67.647,74.944999
586,9.311,5.948,3.884,-5,4.456,7.388,18.373,62.718,72.687
586.5,10.318,4.147,1.239,-1.318,6.579,7.087,14.975,66.991,66.998
587,10.594,5.609,1.732,0.908,1.415,7.5,17.361,67.025,73.989999
587.5,10.814,5.893,2.451,-1.106,2.661,6.31,15.197,65.736999,68.616
588,8.548999,4.186,2.013,5.518,2.01,7.453,11.242,61.727,61.14
588.5,10.176,4.51,2.458,8.173,3.543,6.733,11.766,57.951,59.49
589,9.409,6.089,2.307,3.752,4.367,7.195,11.685,63.357,61.255
589.5,8.826,6.355,2.571,-0.222,3.153,6.079,11.092,54.17,63.515
590,10.222,4.172,2.042,10.253,3.067,6.888,15.396,49.064,64.55
590.5,11.923,4.301,2.534,2.826,3.87,6.11,12.777,55.057,54.878
591,8.682,3.699,4.157,11.568,3.062,6.42,11.183,52.541,59.388
591.5,8.99,4.121,2.772,2.071,2.062,5.426,8.641999,54.69,64.404
592,9.18,4.812,2.761,-5,2.283,5.107,11.08,54.337,58.356
592.5,8.19,5.039,3.349,-3.522,2.876,6.131,13.722,50.54,55.143
593,7.908,3.583,2.528,-5,2.7,5.948,13.883,49.52,58.168
593.5,10.493,3.221,1.729,-2.38,2.663,4.986,9.984999,43.58,51.703
594,9.406,4.616,1.539,-5,4.022,4.546,7.559,40.42,52.343
594.5,7.477,5.396,1.097,1.281,4.326,4.718,9.141,44.178,48.935
595,7.472,5.086,1.761,12.602,1.914,7.488,8.555,44.421,46.641
595.5,7.361,3.22,3.974,10.947,1.488,6.812,7.234,39.607,44.185
596,7.782,2.817,3.227,5.067,2.366,5.71,6.641,39.604,40.147
596.5,7.008,4.135,1.098,1.276,2.253,3.984,6.821,39.625,46.428
597,8.342,3.262,1.526,0.503,0.541,3.443,8.739,39.511,40.68
597.5,7.771,3.301,2.102,0.021,2.18,5.299,9.461,37.605,37.443
598,7.11,2.729,2.468,-0.015,1.822,2.784,9.818,34.01,37.486
598.5,6.94,3.303,3.293,0.122,3.735,3.82,9.369,35.112,34.772
599,7.959,3.301,1.89,0.03,2.785,3.344,7.204,37.438,40.416
599.5,8.172,3.554,0.933,0.728,2.009,5.006,6.779,38.563,35.254
600,6.799,2.854,1.721,0.305,1.425,5.49,6.651,32.801,35.402
600.5,5.631,2.937,1.178,0.031,1.39,4.838,6.725,33.061,41.474
601,6.396,2.837,0.895,0,3.561,3.363,8.231,31.503,37.133
601.5,4.291,1.106,2.283,-0.307,1.547,5.26,4.946,34.168,36.175
602,5.623,4.305,0.153,0,3.105,2.909,6.388,28.264,37.304
602.5,4.359,4.195,1.487,0,2.158,1.582,6.187,30.075,31.121
603,7.489,6.476,0.799,0,1.927,4.892,4.487,29.354,30.911
603.5,4.915,2.602,3.068,0,2.899,3.269,5.717,26.197,33.912
604,6.818,5.027,3.682,0,1.67,3.123,5.718,25.535,32.323
604.5,6.626,1.671,3.084,0,2.906,3.715,5.649,26.262,32.324
605,6.274,1.369,1.586,-0.309,0.586,3.966,4.378,26.842,29.714
605.5,4.296,3.438,2.214,0.063,1.996,3.671,6.833,20.409,23.854
606,7.125,1.983,1.991,0.266,0.95,3.386,7.048,21.231,25.894
606.5,5.846,4.146,2.012,-0.272,1.636,3.337,10.65,19.534,27.61
607,5.512,3.657,1.214,-1.238,2.269,2.622,3.985,19.065,22.446
607.5,4.694,3.073,0.73,0.371,1.043,3.361,4.665,23.957,23.223
608,2.579,3.607,0.808,-0.174,0.661,2.637,7.8,19.735,19.031
608.5,4.498,2.387,2.022,-0.475,1.471,2.495,5.763,22.864,19.814
609,3.514,3.037,1.652,-0.025,3.093,2.435,3.871,21.335,21.312
609.5,3.712,1.831,1.657,0.127,2.722,2.827,5.387,20.827,20.7
610,3.683,1.039,1.997,0.049,1.563,2.855,5.231,20.86,20.091
610.5,3.048,1.447,1.073,0,1.101,3.438,4.14,15.425,18.96
611,3.157,1.764,0.412,0.03,1.626,2.693,4.595,15.738,18.307
611.5,3.137,2.311,0.933,0.036,1.068,3.564,6.002,16.181,18.485
612,2.092,3.765,1.051,-0.365,1.351,2.869,4.539,19.656,17.26
612.5,2.412,3.716,1.078,-0.013,1.226,2.504,2.527,18.672,21.751
613,0.773,1.438,0.486,0.198,1.341,2.528,2.736,13.085,22.792
613.5,-5,1.328,0.808,0.404,1.239,2.36,4.284,12.55,16.535
614,-5,1.255,1.385,0.248,1.681,2.51,3.553,14.934,15.259
614.5,-1.61,1.717,0.888,0,1.488,2.513,4.346,14.354,16.895
615,-5,1.787,0.855,-0.17,2.739,1.447,4.344,13.002,16.654
615.5,3.658,1.049,1.891,0.138,1.472,1.051,2.397,14.972,16.173
616,17.951,1.433,1.76,0.045,1.493,1.43,2.64,13.027,16.76
616.5,9.198,1.549,1.327,0,0.829,2.246,3.059,13.76,17.522
617,14.719,1.004,0.491,-0.129,0.75,1.752,2.472,14.634,18.247
617.5,-1.128,0.592,0.942999,-0.281,0.92,0.814999,2.562,12.025,15.488
618,0.124,0.979,0.844,0.178,0.767,1.695,3.63,12.112,13.203
618.5,-1.571,1.317,0.939999,-0.004,0.936,2.004,3.617,7.637,10.87
619,-5,2.851,0.523,0,1.137,1.849,2.022,11.838,9.156
619.5,-5,0.565999,1.256,-0.309,1.519,0.692999,1.579,10.334,10.135
620,18.329,1.388,-0.161,0,2.174,1.155,2.07,9.574,9.048
620.5,-5,1.889,0.528,0,0.713,2.309,3.443,11.444,12.661
621,7.502,1.288,1.275,0.292,0.756,0,1.878,12.304,11.133
621.5,-2.459,1.929,1.524,0.704,0.712,0.489,2.09,10.076,11.108
622,7.743,0.322,0.083,0.497,0.72,3.147,1.364,13.801,10.45
622.5,15.567,0.348,0.52,0.032,0.526,0.973,2.762,8.983,8.215
623,6.51,1.607,0.36,-0.19,1.993,1.134,2.783,8.644,7.678
623.5,2.345,1.008,1.385,-0.291,1.418,0.854,1.819,6.87,7.011
624,2.641,0.773,0.687,-0.166,3.941,1.14,2.083,7.158,7.643
624.5,2.439,1.181,-0.522,0,2.641,0.757,0.994,7.942,8.458
625,3.271,1.498,0.345,-0.215,1.254,0.725,1.395,8.352,9.026
625.5,3.994,1.727,1.525,0.116,0.597,1.612,2.548,6.059,7.711
626,2.968,1.653,1.236,0.124,0.427,0.821,1.851,5.494,10.955
626.5,1.534,1.318,1.044,0.372,1.109,1.85,1.482,6.215,9.811999
627,0.986,0.53,0.172,0.154,0.733,1.413,1.72,7.128,7.477
627.5,1.441,0.856,0.313,-0.344,0.111,0.368,2.161,5.895,9.742
628,0.917,0.183,0.185,-0.232,0.249,0.656,3.025,5.63,8.827
628.5,0.438,0.26,0.314,-0.119,1.726,0.912,3.08,6.135,7.685
629,-0.24,0.234,0.603,2.649,2.327,0.679,2.408,6.242,5.961
629.5,-0.034,0.537,-0.176,1.929,0.928,0.092,1.869,5.553,4.818
630,1.167,0.832,-0.182,-0.021,1.382,0.345,1.248,4.072,5.138
630.5,0.981,0.774,0.031,0.56,1.089,0.393,1.103,4.751,4.694
